"","Country.Name","Year","CO2Emission"
"153","Sudan",1960,0.129783714
"154","Senegal",1960,0.258436816
"155","Singapore",1960,0.846367833
"156","Solomon Islands",1960,0.093334804
"157","Sierra Leone",1960,0.311288967
"158","El Salvador",1960,0.224301721
"159","Sub-Saharan Africa (excluding high income)",1960,0.551622314
"160","Sub-Saharan Africa",1960,0.551543918
"161","Small states",1960,0.905955394
"162","Sao Tome and Principe",1960,0.171213795
"163","Suriname",1960,1.49226461
"164","Sweden",1960,6.576406584
"165","Syrian Arab Republic",1960,0.704774143
"166","Chad",1960,0.018325269
"167","East Asia & Pacific (IDA & IBRD countries)",1960,0.949846704
"168","Togo",1960,0.04176239
"169","Thailand",1960,0.135585914
"170","Latin America & the Caribbean (IDA & IBRD countries)",1960,1.295893693
"171","Middle East & North Africa (IDA & IBRD countries)",1960,0.860175507
"172","Tonga",1960,0.178584763
"173","South Asia (IDA & IBRD)",1960,0.243920502
"174","Sub-Saharan Africa (IDA & IBRD countries)",1960,0.551543918
"175","Trinidad and Tobago",1960,3.042583258
"176","Tunisia",1960,0.413564893
"177","Turkey",1960,0.612271634
"178","Tanzania",1960,0.082261296
"179","Uganda",1960,0.062123115
"180","Upper middle income",1960,1.708475693
"181","Uruguay",1960,1.701583242
"182","United States",1960,15.999779157
"183","St. Vincent and the Grenadines",1960,0.135900382
"184","Venezuela, RB",1960,7.005105288
"185","Vietnam",1960,0.215631379
"186","World",1960,3.093340445
"187","Samoa",1960,0.135007271
"188","Yemen, Rep.",1960,0.702610624
"189","South Africa",1960,5.629598927
"190","Afghanistan",1961,0.053604304
"191","Angola",1961,0.079038085
"192","Albania",1961,1.374186047
"193","Arab World",1961,0.685481003
"194","United Arab Emirates",1961,0.10883674
"195","Argentina",1961,2.442615898
"196","Antigua and Barbuda",1961,0.849084497
"197","Australia",1961,8.641569017
"198","Austria",1961,4.496361641
"199","Belgium",1961,10.103871995
"200","Benin",1961,0.05204863
"201","Burkina Faso",1961,0.018729901
"202","Bulgaria",1961,3.269920074
"203","Bahrain",1961,10.549281094
"204","Bahamas, The",1961,4.746698752
"205","Belize",1961,0.387210542
"206","Bermuda",1961,3.868483516
"207","Bolivia",1961,0.276621442
"208","Brazil",1961,0.661770535
"209","Barbados",1961,0.838884141
"210","Brunei Darussalam",1961,3.555785317
"211","Central African Republic",1961,0.057550645
"212","Canada",1961,10.627897652
"213","Central Europe and the Baltics",1961,5.345133149
"214","Switzerland",1961,3.751824984
"215","Chile",1961,1.834393262
"216","China",1961,0.836046901
"217","Cote d'Ivoire",1961,0.149888
"218","Cameroon",1961,0.053424155
"219","Congo, Dem. Rep.",1961,0.15078151
"220","Congo, Rep.",1961,0.251563042
"221","Colombia",1961,1.072742792
"222","Comoros",1961,0.056665585
"223","Cabo Verde",1961,0.106828643
"224","Costa Rica",1961,0.355577072
"225","Caribbean small states",1961,2.058175437
"226","Cuba",1961,1.671065126
"227","Cayman Islands",1961,1.370670321
"228","Cyprus",1961,1.501421768
"229","Djibouti",1961,0.497231576
"230","Dominica",1961,0.180249705
"231","Denmark",1961,6.881260155
"232","Dominican Republic",1961,0.302506327
"233","Algeria",1961,0.531809994
"234","East Asia & Pacific (excluding high income)",1961,0.695941926
"235","Early-demographic dividend",1961,0.604372469
"236","East Asia & Pacific",1961,0.996038239
"237","Ecuador",1961,0.352048886
"238","Egypt, Arab Rep.",1961,0.615909078
"239","Spain",1961,1.74622172
"240","Ethiopia",1961,0.015042483
"241","European Union",1961,5.924028826
"242","Fragile and conflict affected situations",1961,0.2694676
"243","Finland",1961,3.348877215
"244","Fiji",1961,0.414293293
"245","France",1961,5.927130464
"246","Faroe Islands",1961,3.237277517
"247","Gabon",1961,0.327302263
"248","United Kingdom",1961,11.15413892
"249","Ghana",1961,0.195992333
"250","Gibraltar",1961,2.158328428
"251","Guinea",1961,0.169541827
"252","Gambia, The",1961,0.058401484
"253","Guinea-Bissau",1961,0.047056936
"254","Equatorial Guinea",1961,0.084967194
"255","Greece",1961,1.169782628
"256","Grenada",1961,0.200909489
"257","Greenland",1961,8.70504451
"258","Guatemala",1961,0.324742058
"259","Guyana",1961,1.250805228
"260","High income",1961,7.609810125
"261","Hong Kong SAR, China",1961,1.064878003
"262","Honduras",1961,0.351585832
"263","Heavily indebted poor countries (HIPC)",1961,0.125925561
"264","Haiti",1961,0.075323252
"265","Hungary",1961,4.883326797
"266","IBRD only",1961,1.173321409
"267","IDA & IBRD total",1961,1.013890768
"268","IDA total",1961,0.215972781
"269","IDA blend",1961,0.368169444
"270","Indonesia",1961,0.288719865
"271","IDA only",1961,0.131554891
"272","India",1961,0.284413565
"273","Ireland",1961,4.377964877
"274","Iran, Islamic Rep.",1961,1.625488236
"275","Iraq",1961,1.166517108
"276","Iceland",1961,6.103849097
"277","Israel",1961,3.235686957
"278","Italy",1961,2.46455581
"279","Jamaica",1961,1.290598047
"280","Jordan",1961,1.006172135
"281","Japan",1961,2.981979388
"282","Kenya",1961,0.287257304
"283","Cambodia",1961,0.048701732
"284","St. Kitts and Nevis",1961,0.429785322
"285","Korea, Rep.",1961,0.561314583
"286","Latin America & Caribbean (excluding high income)",1961,1.269510752
"287","Lao PDR",1961,0.052377435
"288","Lebanon",1961,1.439577819
"289","Liberia",1961,0.140917007
"290","Libya",1961,0.797987545
"291","St. Lucia",1961,0.20167411
"292","Latin America & Caribbean",1961,1.314345682
"293","Least developed countries: UN classification",1961,0.096821307
"294","Sri Lanka",1961,0.229728462
"295","Lower middle income",1961,0.393727064
"296","Low & middle income",1961,0.904186338
"297","Late-demographic dividend",1961,1.477316758
"298","Luxembourg",1961,36.583777557
"299","Macao SAR, China",1961,0.408723198
"300","Morocco",1961,0.297155583
"301","Madagascar",1961,0.068095026
"302","Middle East & North Africa",1961,0.991918848
"303","Mexico",1961,1.657749762
"304","Middle income",1961,0.955687896
"305","Mali",1961,0.022047752
"306","Malta",1961,0.901952344
"307","Myanmar",1961,0.120933202
"308","Middle East & North Africa (excluding high income)",1961,0.842547225
"309","Mongolia",1961,1.418744871
"310","Mozambique",1961,0.349130425
"311","Mauritania",1961,0.053974034
"312","Mauritius",1961,0.274719173
"313","North America",1961,15.221533067
"314","New Caledonia",1961,10.928743842
"315","Niger",1961,0.015777494
"316","Nigeria",1961,0.089320767
"317","Nicaragua",1961,0.306518247
"318","Netherlands",1961,6.520357665
"319","Norway",1961,3.698694388
"320","Nepal",1961,0.007892379
"321","New Zealand",1961,4.863166095
"322","OECD members",1961,7.309569334
"323","Other small states",1961,0.759141821
"324","Pakistan",1961,0.318735097
"325","Panama",1961,0.945787401
"326","Peru",1961,0.835064436
"327","Philippines",1961,0.321145444
"328","Palau",1961,5.185656566
"329","Papua New Guinea",1961,0.098289576
"330","Poland",1961,6.922802563
"331","Pre-demographic dividend",1961,0.163192708
"332","Portugal",1961,1.018050319
"333","Paraguay",1961,0.185853579
"334","Pacific island small states",1961,0.387982221
"335","Post-demographic dividend",1961,7.77158747
"336","French Polynesia",1961,0.727011387
"337","Qatar",1961,3.137784174
"338","Romania",1961,3.005891594
"339","Rwanda",1961,0.046509191
"340","South Asia",1961,0.257070604
"341","Saudi Arabia",1961,0.846589343
"342","Sudan",1961,0.128810196
"343","Senegal",1961,0.247041462
"344","Singapore",1961,1.229944196
"345","Solomon Islands",1961,0.120827704
"346","Sierra Leone",1961,0.12437425
"347","El Salvador",1961,0.205066403
"348","Sub-Saharan Africa (excluding high income)",1961,0.563613517
"349","Sub-Saharan Africa",1961,0.563532932
"350","Small states",1961,1.233498025
"351","Sao Tome and Principe",1961,0.170423386
"352","Suriname",1961,1.438820476
"353","Sweden",1961,6.49624827
"354","Syrian Arab Republic",1961,0.649233274
"355","Chad",1961,0.016775178
"356","East Asia & Pacific (IDA & IBRD countries)",1961,0.694738887
"357","Togo",1961,0.057385607
"358","Thailand",1961,0.146943985
"359","Latin America & the Caribbean (IDA & IBRD countries)",1961,1.296436126
"360","Middle East & North Africa (IDA & IBRD countries)",1961,0.842079472
"361","Tonga",1961,0.172578241
"362","South Asia (IDA & IBRD)",1961,0.257070604
"363","Sub-Saharan Africa (IDA & IBRD countries)",1961,0.563532932
"364","Trinidad and Tobago",1961,5.31811616
"365","Tunisia",1961,0.417261635
"366","Turkey",1961,0.616879632
"367","Tanzania",1961,0.06787207
"368","Uganda",1961,0.058093095
"369","Upper middle income",1961,1.420699283
"370","Uruguay",1961,1.602723501
"371","United States",1961,15.681255516
"372","St. Vincent and the Grenadines",1961,0.133926615
"373","Venezuela, RB",1961,6.136884911
"374","Vietnam",1961,0.225435418
"375","World",1961,3.06312518
"376","Samoa",1961,0.163531605
"377","Yemen, Rep.",1961,0.506778537
"378","South Africa",1961,5.726257721
"379","Afghanistan",1962,0.073764791
"380","Angola",1962,0.201289076
"381","Albania",1962,1.439955964
"382","Arab World",1962,0.761221101
"383","United Arab Emirates",1962,0.163018351
"384","Argentina",1962,2.522392105
"385","Antigua and Barbuda",1962,1.796794064
"386","Australia",1962,8.835688047
"387","Austria",1962,4.755361673
"388","Belgium",1962,10.64118963
"389","Benin",1962,0.054208805
"390","Burkina Faso",1962,0.017003116
"391","Bulgaria",1962,3.835891818
"392","Bahrain",1962,9.19164395
"393","Bahamas, The",1962,5.996432199
"394","Belize",1962,0.715446069
"395","Bermuda",1962,3.383712446
"396","Bolivia",1962,0.286626419
"397","Brazil",1962,0.701235515
"398","Barbados",1962,1.119400996
"399","Brunei Darussalam",1962,4.137439117
"400","Central African Republic",1962,0.047113662
"401","Canada",1962,11.130627485
"402","Central Europe and the Baltics",1962,5.67398699
"403","Switzerland",1962,4.333572069
"404","Chile",1962,2.073249664
"405","China",1962,0.661428164
"406","Cote d'Ivoire",1962,0.152749064
"407","Cameroon",1962,0.053647627
"408","Congo, Dem. Rep.",1962,0.13555859
"409","Congo, Rep.",1962,0.218215459
"410","Colombia",1962,1.110985373
"411","Comoros",1962,0.05578657
"412","Cabo Verde",1962,0.086950542
"413","Costa Rica",1962,0.383956275
"414","Caribbean small states",1962,2.701183135
"415","Cuba",1962,1.901815231
"416","Cayman Islands",1962,1.350478763
"417","Cyprus",1962,1.567877983
"418","Djibouti",1962,0.506040083
"419","Dominica",1962,0.177487012
"420","Denmark",1962,7.945107361
"421","Dominican Republic",1962,0.353028929
"422","Algeria",1962,0.484953619
"423","East Asia & Pacific (excluding high income)",1962,0.562007685
"424","Early-demographic dividend",1962,0.624336592
"425","East Asia & Pacific",1962,0.895301664
"426","Ecuador",1962,0.325336544
"427","Egypt, Arab Rep.",1962,0.652327306
"428","Spain",1962,1.935781533
"429","Ethiopia",1962,0.017054794
"430","European Union",1962,6.211182184
"431","Fragile and conflict affected situations",1962,0.286027097
"432","Finland",1962,3.742567366
"433","Fiji",1962,0.547992419
"434","France",1962,6.207578239
"435","Faroe Islands",1962,3.298959798
"436","Gabon",1962,0.172630373
"437","United Kingdom",1962,11.142928394
"438","Ghana",1962,0.202357531
"439","Gibraltar",1962,2.265071652
"440","Guinea",1962,0.178845866
"441","Gambia, The",1962,0.066929493
"442","Guinea-Bissau",1962,0.064030135
"443","Equatorial Guinea",1962,0.083788415
"444","Greece",1962,1.20320119
"445","Grenada",1962,0.277727887
"446","Greenland",1962,7.543542857
"447","Guatemala",1962,0.309673363
"448","Guyana",1962,1.118937463
"449","High income",1962,7.861139868
"450","Hong Kong SAR, China",1962,1.115011194
"451","Honduras",1962,0.324911906
"452","Heavily indebted poor countries (HIPC)",1962,0.123176856
"453","Haiti",1962,0.075662887
"454","Hungary",1962,5.02503803
"455","IBRD only",1962,1.115647344
"456","IDA & IBRD total",1962,0.966444608
"457","IDA total",1962,0.228283559
"458","IDA blend",1962,0.394622038
"459","Indonesia",1962,0.248446982
"460","IDA only",1962,0.137212998
"461","India",1962,0.306651555
"462","Ireland",1962,4.626338041
"463","Iran, Islamic Rep.",1962,1.623743029
"464","Iraq",1962,1.176903642
"465","Iceland",1962,6.57485552
"466","Israel",1962,3.463899695
"467","Italy",1962,2.878496387
"468","Jamaica",1962,1.264445041
"469","Jordan",1962,1.038652792
"470","Japan",1962,3.059736351
"471","Kenya",1962,0.30427402
"472","Cambodia",1962,0.051094865
"473","St. Kitts and Nevis",1962,0.28779971
"474","Korea, Rep.",1962,0.651713667
"475","Latin America & Caribbean (excluding high income)",1962,1.292732007
"476","Lao PDR",1962,0.059434826
"477","Lebanon",1962,1.483731683
"478","Liberia",1962,0.216170289
"479","Libya",1962,0.676265933
"480","St. Lucia",1962,0.199111681
"481","Latin America & Caribbean",1962,1.356247909
"482","Least developed countries: UN classification",1962,0.10586836
"483","Sri Lanka",1962,0.245449871
"484","Lower middle income",1962,0.415904847
"485","Low & middle income",1962,0.849365779
"486","Late-demographic dividend",1962,1.343550599
"487","Luxembourg",1962,36.012626656
"488","Macao SAR, China",1962,0.541137875
"489","Morocco",1962,0.235228928
"490","Madagascar",1962,0.073990804
"491","Middle East & North Africa",1962,1.062949154
"492","Mexico",1962,1.569744495
"493","Middle income",1962,0.897835244
"494","Mali",1962,0.025894159
"495","Malta",1962,1.018925594
"496","Myanmar",1962,0.131622037
"497","Middle East & North Africa (excluding high income)",1962,0.85099798
"498","Mongolia",1962,1.950755643
"499","Mozambique",1962,0.258147567
"500","Mauritania",1962,0.068566633
"501","Mauritius",1962,0.361281304
"502","North America",1962,15.568093808
"503","New Caledonia",1962,6.771199041
"504","Niger",1962,0.018395521
"505","Nigeria",1962,0.088889144
"506","Nicaragua",1962,0.349874534
"507","Netherlands",1962,7.060853797
"508","Norway",1962,3.868626059
"509","Nepal",1962,0.00847518
"510","New Zealand",1962,4.516526591
"511","OECD members",1962,7.531543209
"512","Other small states",1962,0.760667064
"513","Pakistan",1962,0.341801409
"514","Panama",1962,0.991185763
"515","Peru",1962,0.936145408
"516","Philippines",1962,0.368512121
"517","Palau",1962,5.057432765
"518","Papua New Guinea",1962,0.094533455
"519","Poland",1962,7.15360516
"520","Pre-demographic dividend",1962,0.166331582
"521","Portugal",1962,1.034377865
"522","Paraguay",1962,0.195662375
"523","Pacific island small states",1962,0.466695431
"524","Post-demographic dividend",1962,8.024311669
"525","French Polynesia",1962,0.569879619
"526","Qatar",1962,3.389154507
"527","Romania",1962,3.420285867
"528","Rwanda",1962,0.027647312
"529","South Asia",1962,0.277081285
"530","Saudi Arabia",1962,1.433898008
"531","Sudan",1962,0.134379626
"532","Senegal",1962,0.240362247
"533","Singapore",1962,1.472917952
"534","Solomon Islands",1962,0.117283951
"535","Sierra Leone",1962,0.138113079
"536","El Salvador",1962,0.221683983
"537","Sub-Saharan Africa (excluding high income)",1962,0.569670403
"538","Sub-Saharan Africa",1962,0.569588665
"539","Small states",1962,1.479412075
"540","Sao Tome and Principe",1962,0.170738143
"541","Suriname",1962,1.616061868
"542","Sweden",1962,6.787859772
"543","Syrian Arab Republic",1962,0.657370377
"544","Chad",1962,0.02702184
"545","East Asia & Pacific (IDA & IBRD countries)",1962,0.561070968
"546","Togo",1962,0.054569975
"547","Thailand",1962,0.173129711
"548","Latin America & the Caribbean (IDA & IBRD countries)",1962,1.330874726
"549","Middle East & North Africa (IDA & IBRD countries)",1962,0.850525536
"550","Tonga",1962,0.166030275
"551","South Asia (IDA & IBRD)",1962,0.277081285
"552","Sub-Saharan Africa (IDA & IBRD countries)",1962,0.569588665
"553","Trinidad and Tobago",1962,8.225532742
"554","Tunisia",1962,0.417563397
"555","Turkey",1962,0.750243793
"556","Tanzania",1962,0.071734345
"557","Uganda",1962,0.059258106
"558","Upper middle income",1962,1.301287319
"559","Uruguay",1962,1.540657486
"560","United States",1962,16.013937498
"561","St. Vincent and the Grenadines",1962,0.132214023
"562","Venezuela, RB",1962,6.155057983
"563","Vietnam",1962,0.258759876
"564","World",1962,3.135798401
"565","Samoa",1962,0.158349743
"566","Yemen, Rep.",1962,0.726301567
"567","South Africa",1962,5.772587446
"568","Afghanistan",1963,0.074232685
"569","Angola",1963,0.192534735
"570","Albania",1963,1.181681144
"571","Arab World",1963,0.875362753
"572","United Arab Emirates",1963,0.175222592
"573","Argentina",1963,2.316356332
"574","Antigua and Barbuda",1963,1.446821285
"575","Australia",1963,9.226439909
"576","Austria",1963,5.155193747
"577","Belgium",1963,11.38692874
"578","Benin",1963,0.047588561
"579","Burkina Faso",1963,0.017504203
"580","Bulgaria",1963,4.259780927
"581","Bahrain",1963,6.710688223
"582","Bahamas, The",1963,5.558111409
"583","Belize",1963,0.622369314
"584","Bermuda",1963,3.151928721
"585","Bolivia",1963,0.310159593
"586","Brazil",1963,0.705320917
"587","Barbados",1963,0.816329676
"588","Brunei Darussalam",1963,3.801177652
"589","Central African Republic",1963,0.04624903
"590","Canada",1963,11.132102405
"591","Central Europe and the Baltics",1963,6.081270713
"592","Switzerland",1963,5.111295488
"593","Chile",1963,2.104406168
"594","China",1963,0.640001899
"595","Cote d'Ivoire",1963,0.155966776
"596","Cameroon",1963,0.054470275
"597","Congo, Dem. Rep.",1963,0.139445496
"598","Congo, Rep.",1963,0.209218755
"599","Colombia",1963,1.178780606
"600","Comoros",1963,0.054902881
"601","Cabo Verde",1963,0.06762314
"602","Costa Rica",1963,0.405108756
"603","Caribbean small states",1963,1.348841193
"604","Cuba",1963,1.711636398
"605","Cayman Islands",1963,1.337182448
"606","Cyprus",1963,1.706871103
"607","Djibouti",1963,0.655940692
"608","Dominica",1963,0.233128834
"609","Denmark",1963,8.6898313
"610","Dominican Republic",1963,0.343658929
"611","Algeria",1963,0.452824232
"612","East Asia & Pacific (excluding high income)",1963,0.544992797
"613","Early-demographic dividend",1963,0.638765472
"614","East Asia & Pacific",1963,0.914154913
"615","Ecuador",1963,0.362722416
"616","Egypt, Arab Rep.",1963,0.736123834
"617","Spain",1963,1.879509312
"618","Ethiopia",1963,0.017719867
"619","European Union",1963,6.575924352
"620","Fragile and conflict affected situations",1963,0.2870553
"621","Finland",1963,4.279630907
"622","Fiji",1963,0.55483164
"623","France",1963,6.844149785
"624","Faroe Islands",1963,3.461931471
"625","Gabon",1963,0.142058826
"626","United Kingdom",1963,11.254853458
"627","Ghana",1963,0.235983576
"628","Gibraltar",1963,2.213659047
"629","Guinea",1963,0.185819195
"630","Gambia, The",1963,0.075399926
"631","Guinea-Bissau",1963,0.074885404
"632","Equatorial Guinea",1963,0.096283543
"633","Greece",1963,1.445674897
"634","Grenada",1963,0.157129084
"635","Greenland",1963,9.066758242
"636","Guatemala",1963,0.331150406
"637","Guyana",1963,0.989528972
"638","High income",1963,8.197708716
"639","Hong Kong SAR, China",1963,1.242378614
"640","Honduras",1963,0.320925589
"641","Heavily indebted poor countries (HIPC)",1963,0.127152606
"642","Haiti",1963,0.060763257
"643","Hungary",1963,5.579045568
"644","IBRD only",1963,1.125758389
"645","IDA & IBRD total",1963,0.976126191
"646","IDA total",1963,0.238524715
"647","IDA blend",1963,0.437490874
"648","Indonesia",1963,0.239681359
"649","IDA only",1963,0.134874246
"650","India",1963,0.32266942
"651","Ireland",1963,4.718965523
"652","Iran, Islamic Rep.",1963,1.745819417
"653","Iraq",1963,1.190893195
"654","Iceland",1963,7.031677377
"655","Israel",1963,3.451203447
"656","Italy",1963,3.215100133
"657","Jamaica",1963,1.407904802
"658","Jordan",1963,1.163736465
"659","Japan",1963,3.359320776
"660","Kenya",1963,0.320662066
"661","Cambodia",1963,0.062858652
"662","St. Kitts and Nevis",1963,0.362889659
"663","Korea, Rep.",1963,0.774109781
"664","Latin America & Caribbean (excluding high income)",1963,1.280686489
"665","Lao PDR",1963,0.064521549
"666","Lebanon",1963,1.52593074
"667","Liberia",1963,0.29718604
"668","Libya",1963,0.910377925
"669","St. Lucia",1963,0.235569974
"670","Latin America & Caribbean",1963,1.320395034
"671","Least developed countries: UN classification",1963,0.099831607
"672","Sri Lanka",1963,0.239453506
"673","Lower middle income",1963,0.437531252
"674","Low & middle income",1963,0.855930041
"675","Late-demographic dividend",1963,1.351046207
"676","Luxembourg",1963,35.323585313
"677","Macao SAR, China",1963,0.577166893
"678","Morocco",1963,0.293833791
"679","Madagascar",1963,0.084217123
"680","Middle East & North Africa",1963,1.18754905
"681","Mexico",1963,1.58230541
"682","Middle income",1963,0.904803951
"683","Mali",1963,0.032346291
"684","Malta",1963,1.273303364
"685","Myanmar",1963,0.117851982
"686","Middle East & North Africa (excluding high income)",1963,0.906291798
"687","Mongolia",1963,1.537322654
"688","Mozambique",1963,0.211286668
"689","Mauritania",1963,0.094024034
"690","Mauritius",1963,0.290764139
"691","North America",1963,15.992466933
"692","New Caledonia",1963,7.231306884
"693","Niger",1963,0.023825445
"694","Nigeria",1963,0.111386692
"695","Nicaragua",1963,0.433944402
"696","Netherlands",1963,7.623924888
"697","Norway",1963,4.086515969
"698","Nepal",1963,0.009382723
"699","New Zealand",1963,4.830336124
"700","OECD members",1963,7.843578094
"701","Other small states",1963,1.591354458
"702","Pakistan",1963,0.383252857
"703","Panama",1963,0.956101881
"704","Peru",1963,0.933682402
"705","Philippines",1963,0.395807101
"706","Palau",1963,5.300154172
"707","Papua New Guinea",1963,0.119987678
"708","Poland",1963,7.528621321
"709","Pre-demographic dividend",1963,0.174951466
"710","Portugal",1963,1.110208624
"711","Paraguay",1963,0.199475938
"712","Pacific island small states",1963,0.473527035
"713","Post-demographic dividend",1963,8.369635325
"714","French Polynesia",1963,0.760113776
"715","Qatar",1963,99.46300047
"716","Romania",1963,3.698826568
"717","Rwanda",1963,0.027180716
"718","South Asia",1963,0.292913748
"719","Saudi Arabia",1963,1.537706964
"720","Sudan",1963,0.147903283
"721","Senegal",1963,0.247503766
"722","Singapore",1963,1.89376546
"723","Solomon Islands",1963,0.113823662
"724","Sierra Leone",1963,0.15442163
"725","El Salvador",1963,0.373279569
"726","Sub-Saharan Africa (excluding high income)",1963,0.583001134
"727","Sub-Saharan Africa",1963,0.582917341
"728","Small states",1963,1.451676199
"729","Sao Tome and Principe",1963,0.114277701
"730","Suriname",1963,1.690517219
"731","Sweden",1963,7.281603319
"732","Syrian Arab Republic",1963,0.717427799
"733","Chad",1963,0.02879646
