"","Country.Name","Year","Total.Land","Agriculture.Land","Forest.Area"
"157","Peru",1990,1280000,218360,60.87578
"158","Philippines",1990,298170,111400,21.9841
"159","Papua New Guinea",1990,452860,8770,74.25474
"160","Poland",1990,306290,187930,28.9954
"161","Pre-demographic dividend",1990,20066611,7839680,29.81322
"162","Puerto Rico",1990,8870,4350,32.35626
"163","Korea, Dem. People’s Rep.",1990,120410,25180,68.10896
"164","Portugal",1990,91500,39630,37.55191
"165","Paraguay",1990,397300,171590,53.25195
"166","West Bank and Gaza",1990,6020,3750,1.508306
"167","Pacific island small states",1990,62860,7574,61.55027
"168","Post-demographic dividend",1990,31450110,11462064,31.12556
"169","French Polynesia",1990,3660,430,15.02732
"170","Qatar",1990,11610,610,0
"171","Romania",1990,229350,147690,27.7785
"172","Rwanda",1990,24670,18790,12.89015
"173","South Asia",1990,4779833,2719904,16.51077
"174","Saudi Arabia",1990,2149690,1234810,0.4544841
"175","Sudan",1990,2376000,1229100,12.93237
"176","Senegal",1990,192530,88690,48.55347
"177","Singapore",1990,670,20,24.40299
"178","Solomon Islands",1990,27990,680,83.02965
"179","Sierra Leone",1990,72180,28250,43.19756
"180","El Salvador",1990,20720,14100,18.19498
"181","San Marino",1990,60,10,0
"182","Somalia",1990,627340,440420,13.20177
"183","Sub-Saharan Africa (excluding high income)",1990,23616931,9894060,29.52806
"184","Sub-Saharan Africa",1990,23617391,9894100,29.52921
"185","Small states",1990,2506944,837119,38.08357
"186","Sao Tome and Principe",1990,960,420,58.33333
"187","Suriname",1990,156000,880,98.91026
"188","Sweden",1990,410340,34130,68.38963
"189","Swaziland",1990,17200,12380,27.44186
"190","Seychelles",1990,460,40,88.41304
"191","Syrian Arab Republic",1990,183780,134950,2.024159
"192","Turks and Caicos Islands",1990,950,10,36.21053
"193","Chad",1990,1259200,483000,5.324809
"194","East Asia & Pacific (IDA & IBRD countries)",1990,15807930,7410231,28.39015
"195","Europe & Central Asia (IDA & IBRD countries)",1990,23000414,805190,38.24193
"196","Togo",1990,54390,31900,12.59423
"197","Thailand",1990,510890,213830,27.41295
"198","Latin America & the Caribbean (IDA & IBRD countries)",1990,19942112,6785749,51.21283
"199","Timor-Leste",1990,14870,3180,64.96301
"200","Middle East & North Africa (IDA & IBRD countries)",1990,8637920,2065612,2.148684
"201","Tonga",1990,720,320,12.5
"202","South Asia (IDA & IBRD)",1990,4779833,2719904,16.51077
"203","Sub-Saharan Africa (IDA & IBRD countries)",1990,23617391,9894100,29.52921
"204","Trinidad and Tobago",1990,5130,770,46.92008
"205","Tunisia",1990,155360,86440,4.138774
"206","Turkey",1990,769630,396770,12.50211
"207","Tuvalu",1990,30,20,33.33333
"208","Tanzania",1990,885800,320000,63.12937
"209","Uganda",1990,199810,119620,23.77759
"210","Upper middle income",1990,58228617,14918190,35.06534
"211","Uruguay",1990,175020,149170,4.558336
"212","United States",1990,9158960,4269480,33.02231
"213","St. Vincent and the Grenadines",1990,390,120,64.10256
"214","Venezuela, RB",1990,882050,218600,58.98305
"215","British Virgin Islands",1990,150,80,24.73333
"216","Virgin Islands (U.S.)",1990,350,100,67.37143
"217","Vietnam",1990,325490,67260,28.76586
"218","Vanuatu",1990,12190,1520,36.09516
"219","World",1990,129716836.4,42463392,31.80057
"220","Samoa",1990,2830,540,45.9364
"221","Yemen, Rep.",1990,527970,236260,1.039832
"222","South Africa",1990,1213090,956000,7.617737
"223","Zambia",1990,743390,208110,71.02598
"224","Zimbabwe",1990,386850,130100,57.29352
"225","Aruba",1991,180,20,2.333333
"226","Afghanistan",1991,652860,380300,2.067825
"227","Angola",1991,1246700,574500,48.80982
"228","Albania",1991,27400,11270,28.71715
"229","Andorra",1991,470,190,34.04255
"230","Arab World",1991,13623991,4784464,3.667273
"231","United Arab Emirates",1991,83600,3100,3.008373
"232","Argentina",1991,2736690,1276600,12.60636
"233","American Samoa",1991,200,30,91.75
"234","Antigua and Barbuda",1991,440,90,23.34091
"235","Australia",1991,7682300,4629740,16.736
"236","Austria",1991,82580,30369,45.80044
"237","Burundi",1991,25680,21100,10.89953
"238","Benin",1991,112760,22800,50.47002
"239","Burkina Faso",1991,273600,95500,24.80665
"240","Bangladesh",1991,130170,103200,11.45733
"241","Bulgaria",1991,110630,61610,30.1166
"242","Bahrain",1991,690,80,0.3333333
"243","Bahamas, The",1991,10010,120,51.44855
"244","Belize",1991,22810,1300,70.16002
"245","Bermuda",1991,50,3,20
"246","Bolivia",1991,1083300,357960,57.71679
"247","Brazil",1991,8358140,2449410,65.10562
"248","Barbados",1991,430,190,14.65116
"249","Brunei Darussalam",1991,5270,110,78.06452
"250","Bhutan",1991,46723,5040,53.86298
"251","Botswana",1991,566730,259010,23.99679
"252","Central African Republic",1991,622980,50080,36.188
"253","Canada",1991,9093510,677530,38.29389
"254","Central Europe and the Baltics",1991,1104936,461720,31.97172
"255","Switzerland",1991,39529,16009,29.22664
"256","Channel Islands",1991,190,85,4.210526
"257","Chile",1991,743532,157890,20.60449
"258","China",1991,9388250,5113790,16.94955
"259","Cote d'Ivoire",1991,318000,189500,32.17799
"260","Cameroon",1991,472710,91500,50.97417
"261","Congo, Dem. Rep.",1991,2267050,259800,70.59906
"262","Congo, Rep.",1991,341500,105230,66.4978
"263","Colombia",1991,1109500,448840,57.82347
"264","Comoros",1991,1861,1140,26.11499
"265","Cabo Verde",1991,4030,680,14.933
"266","Costa Rica",1991,51060,22380,49.84724
"267","Caribbean small states",1991,404850,26238,86.26158
"268","Cuba",1991,107400,67550,19.51304
"269","Cayman Islands",1991,240,27,52.91667
"270","Cyprus",1991,9240,1592,17.54978
"271","Germany",1991,349130,171360,32.38163
"272","Djibouti",1991,23180,13360,0.2415876
"273","Dominica",1991,750,180,66.30667
"274","Denmark",1991,42390,27700,12.91413
"275","Dominican Republic",1991,48310,25460,23.66177
"276","Algeria",1991,2381740,386220,0.6962137
"277","East Asia & Pacific (excluding high income)",1991,15929880,7464799,28.67526
"278","Early-demographic dividend",1991,33246613,12376369,24.32099
"279","East Asia & Pacific",1991,24401850,12345881,25.76438
"280","Europe & Central Asia (excluding high income)",1991,22694234,621530,38.37345
"281","Europe & Central Asia",1991,27357118,2356467,37.30094
"282","Ecuador",1991,276840,79140,52.52366
"283","Egypt, Arab Rep.",1991,995450,26430,0.04570797
"284","Euro area",1991,2645532,1191968,34.59265
"285","Spain",1991,499440,303710,28.28416
"286","Ethiopia",1991,1101000,561580,15.06776
"287","European Union",1991,4209622,1896398,35.1159
"288","Fragile and conflict affected situations",1991,14723328,4753615,25.17215
"289","Finland",1991,304590,24248,72.00499
"290","Fiji",1991,18270,4240,52.30706
"291","France",1991,547566,304849,26.51973
"292","Faroe Islands",1991,1396,30,0.05730659
"293","Gabon",1991,257670,51570,85.38053
"294","United Kingdom",1991,241930,181430,11.55541
"295","Ghana",1991,227540,127200,38.03815
"296","Guinea",1991,245720,140490,29.41559
"297","Gambia, The",1991,10120,5920,43.86364
"298","Guinea-Bissau",1991,28120,14470,78.46373
"299","Equatorial Guinea",1991,28050,3340,65.89305
"300","Greece",1991,128900,91640,25.82777
"301","Grenada",1991,340,120,49.97059
"302","Greenland",1991,341700,2355,0.0006438396
"303","Guatemala",1991,107160,42850,43.80366
"304","Guam",1991,540,200,46.2963
"305","Guyana",1991,196850,17340,84.61367
"306","High income",1991,34929258.4,13134619,28.37694
"307","Honduras",1991,111890,33420,71.1556
"308","Heavily indebted poor countries (HIPC)",1991,19753821,7472640,31.7278
"309","Haiti",1991,27560,15960,4.183599
"310","Hungary",1991,89870,64600,20.16913
"311","IBRD only",1991,69458769,19322848,34.4464
"312","IDA & IBRD total",1991,95787050,29832341,32.74523
"313","IDA total",1991,26328281,10509493,28.2554
"314","IDA blend",1991,5937530,2864008,24.10606
"315","Indonesia",1991,1811570,415240,64.38139
"316","IDA only",1991,20390751,7645485,29.46428
"317","Isle of Man",1991,570,400,6.070175
"318","India",1991,2973190,1815860,21.55399
"319","Ireland",1991,68890,44420,6.996661
"320","Iran, Islamic Rep.",1991,1628760,629970,5.587699
"321","Iraq",1991,437370,96300,1.841461
"322","Iceland",1991,100250,19010,0.1732668
"323","Israel",1991,21640,5780,6.196858
"324","Italy",1991,294110,160540,26.07154
"325","Jamaica",1991,10830,4760,31.78486
"326","Jordan",1991,88240,10104,1.104941
"327","Japan",1991,364600,56540,68.41086
"328","Kenya",1991,569140,268770,8.095196
"329","Cambodia",1991,176520,45100,72.53682
"330","Kiribati",1991,810,390,15
"331","St. Kitts and Nevis",1991,260,120,42.30769
"332","Korea, Rep.",1991,96460,21610,65.95273
"333","Kuwait",1991,17820,1410,0.201459
"334","Latin America & Caribbean (excluding high income)",1991,19125130,6591718,52.41514
"335","Lao PDR",1991,230800,16620,75.96625
"336","Lebanon",1991,10230,6060,12.80547
"337","Liberia",1991,96320,25000,50.86171
"338","Libya",1991,1759540,154600,0.1233277
"339","St. Lucia",1991,610,198,35.63934
"340","Latin America & Caribbean",1991,20071224.4,6904585,50.80941
"341","Least developed countries: UN classification",1991,20146544,7678820,30.40184
"342","Low income",1991,13380901,4873470,31.42203
"343","Liechtenstein",1991,160,70,40.875
"344","Sri Lanka",1991,62710,23420,36.27492
"345","Lower middle income",1991,23179680,9513649,28.51006
"346","Low & middle income",1991,94733558,29433197,32.92925
"347","Lesotho",1991,30360,23230,1.324111
"348","Late-demographic dividend",1991,44559315,10868480,38.76142
"349","Morocco",1991,446300,303550,11.1089
"350","Madagascar",1991,581540,363500,23.42934
"351","Maldives",1991,300,80,3.333333
"352","Middle East & North Africa",1991,11238810,3352474,1.778335
"353","Mexico",1991,1943950,1061540,35.78775
"354","Middle income",1991,81408587,24559731,33.17712
"355","Mali",1991,1220190,321380,5.418009
"356","Malta",1991,320,130,1.09375
"357","Myanmar",1991,653540,104160,59.34296
"358","Middle East & North Africa (excluding high income)",1991,8643940,2093844,2.153833
"359","Mongolia",1991,1553560,1261300,8.016491
"360","Mozambique",1991,786380,477300,54.88314
"361","Mauritania",1991,1030700,396660,0.3931309
"362","Mauritius",1991,2030,1100,20.28571
"363","Malawi",1991,94280,43200,40.97476
"364","Malaysia",1991,328550,68760,67.86638
"365","North America",1991,18252520,4947013,35.65456
"366","Namibia",1991,823290,386620,10.554
"367","New Caledonia",1991,18280,2290,45.89716
"368","Niger",1991,1266700,341050,1.486777
"369","Nigeria",1991,910770,639290,18.47261
"370","Nicaragua",1991,120340,40600,36.9287
"371","Netherlands",1991,33760,19910,10.26363
"372","Norway",1991,365245,10100,33.21086
"373","Nepal",1991,143000,41470,33.04406
"374","Nauru",1991,20,4,0
"375","New Zealand",1991,263310,161190,36.86187
"376","OECD members",1991,34384298,13172175,30.90177
"377","Oman",1991,309500,10800,0.006462036
"378","Other small states",1991,2039234,803132,27.68308
"379","Pakistan",1991,770880,352700,3.224756
"380","Panama",1991,74340,21340,67.5639
"381","Peru",1991,1280000,218960,60.73719
"382","Philippines",1991,298170,111570,22.1424
"383","Papua New Guinea",1991,452860,8820,74.24877
"384","Poland",1991,306290,187530,29.05351
"385","Pre-demographic dividend",1991,20066611,7884890,29.66687
"386","Puerto Rico",1991,8870,4200,34.19504
"387","Korea, Dem. People’s Rep.",1991,120410,25300,67.05589
"388","Portugal",1991,91500,39200,37.45027
"389","Paraguay",1991,397300,171950,52.80166
"390","West Bank and Gaza",1991,6020,3720,1.508306
"391","Pacific island small states",1991,64200,8139,62.06931
"392","Post-demographic dividend",1991,31450110,11424997,31.15345
"393","French Polynesia",1991,3660,430,16.39344
"394","Qatar",1991,11610,610,0
"395","Romania",1991,229460,147980,27.76301
"396","Rwanda",1991,24670,18770,12.99554
"397","South Asia",1991,4779833,2722070,16.51295
"398","Saudi Arabia",1991,2149690,1236720,0.4544841
"399","Sudan",1991,2376000,1229650,12.85896
"400","Senegal",1991,192530,87090,48.31974
"401","Singapore",1991,670,12,24.40299
"402","Solomon Islands",1991,27990,690,82.82958
"403","Sierra Leone",1991,72180,28250,42.92602
"404","El Salvador",1991,20720,14280,17.9778
"405","San Marino",1991,60,10,0
"406","Somalia",1991,627340,440420,13.07951
"407","Sub-Saharan Africa (excluding high income)",1991,23616931,9939290,29.37763
"408","Sub-Saharan Africa",1991,23617391,9939330,29.37878
"409","Small states",1991,2508284,837509,38.01808
"410","Sao Tome and Principe",1991,960,420,58.33333
"411","Suriname",1991,156000,890,98.88526
"412","Sweden",1991,410340,33580,68.414
"413","Swaziland",1991,17200,12270,27.7093
"414","Seychelles",1991,460,40,88.41304
"415","Syrian Arab Republic",1991,183780,135120,2.056807
"416","Turks and Caicos Islands",1991,950,10,36.21053
"417","Chad",1991,1259200,483500,5.294711
"418","East Asia & Pacific (IDA & IBRD countries)",1991,15809270,7439469,28.38214
"419","Europe & Central Asia (IDA & IBRD countries)",1991,23000524,809060,38.24928
"420","Togo",1991,54390,31950,12.22835
"421","Thailand",1991,510890,215160,28.00133
"422","Latin America & the Caribbean (IDA & IBRD countries)",1991,19942112,6832288,50.98693
"423","Timor-Leste",1991,14870,3300,64.20982
"424","Middle East & North Africa (IDA & IBRD countries)",1991,8637920,2090124,2.154283
"425","Tonga",1991,720,320,12.5
"426","South Asia (IDA & IBRD)",1991,4779833,2722070,16.51295
"427","Sub-Saharan Africa (IDA & IBRD countries)",1991,23617391,9939330,29.37878
"428","Trinidad and Tobago",1991,5130,810,46.78168
"429","Tunisia",1991,155360,92100,4.263646
"430","Turkey",1991,769630,400670,12.575
"431","Tuvalu",1991,30,20,33.33333
"432","Tanzania",1991,885800,324030,62.67781
"433","Uganda",1991,199810,120320,23.33617
"434","Upper middle income",1991,58228907,15046082,35.0341
"435","Uruguay",1991,175020,149210,4.885099
"436","United States",1991,9158960,4269480,33.03417
"437","St. Vincent and the Grenadines",1991,390,120,64.35897
"438","Venezuela, RB",1991,882050,218570,58.65711
"439","British Virgin Islands",1991,150,80,24.73333
"440","Virgin Islands (U.S.)",1991,350,100,66.48571
"441","Vietnam",1991,325490,67510,29.49215
"442","Vanuatu",1991,12190,1540,36.09516
"443","World",1991,129718746.4,42567820,31.74413
"444","Samoa",1991,2830,540,47.38516
"445","Yemen, Rep.",1991,527970,236310,1.039832
"446","South Africa",1991,1213090,960050,7.617737
"447","Zambia",1991,743390,208260,70.80187
"448","Zimbabwe",1991,386850,131800,56.44824
"449","Aruba",1992,180,20,2.333333
"450","Afghanistan",1992,652860,380300,2.067825
"451","Angola",1992,1246700,575000,48.70971
"452","Albania",1992,27400,11270,28.64599
"453","Andorra",1992,470,190,34.04255
"454","Arab World",1992,13624011,4806419.8,3.650294
"455","United Arab Emirates",1992,83600,3390,3.086124
"456","Argentina",1992,2736690,1277550,12.49919
"457","American Samoa",1992,200,32,91.6
"458","Antigua and Barbuda",1992,440,90,23.27273
"459","Australia",1992,7682300,4661780,16.73991
"460","Austria",1992,82580,30130,45.87551
"461","Burundi",1992,25680,21200,10.54517
"462","Benin",1992,112760,22950,49.84924
"463","Burkina Faso",1992,273600,95250,24.58772
"464","Bangladesh",1992,130170,95490,11.43735
"465","Bulgaria",1992,110630,61540,30.15999
"466","Bahrain",1992,710,90,0.3521127
"467","Bahamas, The",1992,10010,120,51.44855
"468","Belize",1992,22810,1360,69.47304
"469","Bermuda",1992,50,3,20
"470","Bolivia",1992,1083300,358310,57.46718
"471","Brazil",1992,8358140,2467090,64.80136
"472","Barbados",1992,430,190,14.65116
"473","Brunei Darussalam",1992,5270,110,77.76091
"474","Bhutan",1992,46723,5040,54.07551
"475","Botswana",1992,566730,258510,23.78805
"476","Central African Republic",1992,622980,50200,36.16296
"477","Canada",1992,9093510,678140,38.28871
"478","Central Europe and the Baltics",1992,1104936,560840,32.04928
"479","Switzerland",1992,39529,15962,29.33542
"480","Channel Islands",1992,190,85,4.210526
"481","Chile",1992,743532,155560,20.68129
"482","China",1992,9388250,5143140,17.16109
"483","Cote d'Ivoire",1992,318000,192000,32.21132
"484","Cameroon",1992,472710,91600,50.50877
"485","Congo, Dem. Rep.",1992,2267050,260000,70.4617
"486","Congo, Rep.",1992,341500,105250,66.44802
"487","Colombia",1992,1109500,449830,57.58746
"488","Comoros",1992,1861,1150,25.90005
"489","Cabo Verde",1992,4030,690,15.53846
"490","Costa Rica",1992,51060,21600,49.47904
"491","Caribbean small states",1992,404850,26297,86.20057
"492","Cuba",1992,107400,67750,19.86406
"493","Cayman Islands",1992,240,27,52.91667
"494","Cyprus",1992,9240,1596,17.66342
"495","Germany",1992,349130,169510,32.3971
"496","Djibouti",1992,23180,13710,0.2415876
"497","Dominica",1992,750,180,65.96
"498","Denmark",1992,42430,27560,13.00165
"499","Dominican Republic",1992,48310,25460,24.45042
"500","Algeria",1992,2381740,388650,0.6925189
"501","East Asia & Pacific (excluding high income)",1992,15929880,7468089,28.65456
"502","Early-demographic dividend",1992,33246633,13062046.8,24.17545
"503","East Asia & Pacific",1992,24401850,12378911,25.75354
"504","Europe & Central Asia (excluding high income)",1992,22694434,6513562,38.38262
"505","Europe & Central Asia",1992,27357358,8316923,37.33406
"506","Ecuador",1992,276840,79530,52.19788
"507","Egypt, Arab Rep.",1992,995450,29962.8,0.04721483
"508","Euro area",1992,2645532,1264854,34.83229
"509","Spain",1992,499440,302790,28.91835
"510","Ethiopia",1992,1101000,561050,14.93569
"511","European Union",1992,4209662,1988824,35.2834
"512","Fragile and conflict affected situations",1992,14723328,4768505,25.06329
"513","Finland",1992,304590,24065,72.19213
"514","Fiji",1992,18270,4350,52.45813
"515","France",1992,547566,303843,26.67551
"516","Faroe Islands",1992,1396,30,0.05730659
"517","Gabon",1992,257670,51600,85.38053
"518","United Kingdom",1992,241930,180700,11.62816
"519","Ghana",1992,227540,127200,38.16208
"520","Guinea",1992,245720,140550,29.26909
"521","Gambia, The",1992,10120,5580,44.05138
"522","Guinea-Bissau",1992,28120,14470,78.12233
"523","Equatorial Guinea",1992,28050,3340,65.47594
"524","Greece",1992,128900,91670,26.06206
"525","Grenada",1992,340,120,49.97059
"526","Greenland",1992,341700,2356,0.0006438396
"527","Guatemala",1992,107160,42850,43.29974
"528","Guam",1992,540,200,46.2963
"529","Guyana",1992,196850,17340,84.59436
"530","High income",1992,34929318.4,13216903,28.40453
"531","Honduras",1992,111890,33550,69.59693
"532","Heavily indebted poor countries (HIPC)",1992,19753821,7499120,31.58109
"533","Haiti",1992,27560,15750,4.1582
"534","Hungary",1992,89870,61360,20.29821
"535","IBRD only",1992,69458969,24832603.8,34.3941
"536","IDA & IBRD total",1992,95787250,35793737.8,32.66197
"537","IDA total",1992,26328281,10961134,28.09039
"538","IDA blend",1992,5937530,3151557,23.90552
"539","Indonesia",1992,1811570,413510,63.32507
"540","IDA only",1992,20390751,7809577,29.30963
"541","Isle of Man",1992,570,404,6.070175
"542","India",1992,2973190,1813050,21.60279
"543","Ireland",1992,68890,44130,7.243286
"544","Iran, Islamic Rep.",1992,1628760,637870,5.603023
"545","Iraq",1992,437370,95500,1.844662
"546","Iceland",1992,100250,19010,0.1859352
"547","Israel",1992,21640,5770,6.2939
"548","Italy",1992,294110,159780,26.3364
"549","Jamaica",1992,10830,4760,31.75069
"550","Jordan",1992,88240,11207,1.104941
"551","Japan",1992,364600,56150,68.39057
"552","Kenya",1992,569140,270720,7.89015
"553","Cambodia",1992,176520,45150,71.74484
"554","Kiribati",1992,810,390,15
"555","St. Kitts and Nevis",1992,260,120,42.30769
"556","Korea, Rep.",1992,96460,21360,65.86772
"557","Kuwait",1992,17820,1410,0.2093154
"558","Latin America & Caribbean (excluding high income)",1992,19125130,6612297,52.17562
"559","Lao PDR",1992,230800,16640,75.48146
"560","Lebanon",1992,10230,6060,12.80547
"561","Liberia",1992,96320,25000,50.55025
"562","Libya",1992,1759540,154650,0.1233277
"563","St. Lucia",1992,610,197,35.54098
"564","Latin America & Caribbean",1992,20071224.4,6922774,50.58763
"565","Least developed countries: UN classification",1992,20146544,7693422,30.24828
"566","Low income",1992,13380901,4885052,31.24447
"567","Liechtenstein",1992,160,70,41.125
"568","Sri Lanka",1992,62710,23440,36.12821
"569","Lower middle income",1992,23179680,10424524.8,28.33903
"570","Low & middle income",1992,94733758,35373125.8,32.84265
"571","Lesotho",1992,30360,23360,1.330698
"572","Late-demographic dividend",1992,44559315,15591393,38.75444
"573","Morocco",1992,446300,306160,11.11763
