"","Country.Name","Year","Agriculture.Land"
"80","Guam","1961","     160.0"
"81","Guyana","1961","   13590.0"
"82","High income","1961","13189480.0"
"83","Hong Kong SAR, China","1961","     140.0"
"84","Honduras","1961","   29800.0"
"85","Heavily indebted poor countries (HIPC)","1961"," 6989240.0"
"86","Haiti","1961","   16600.0"
"87","Hungary","1961","   70830.0"
"88","IBRD only","1961","16037698.0"
"89","IDA & IBRD total","1961","26106233.1"
"90","IDA total","1961","10068535.1"
"91","IDA blend","1961"," 2846805.1"
"92","Indonesia","1961","  386000.0"
"93","IDA only","1961"," 7221730.0"
"94","Isle of Man","1961","     325.0"
"95","India","1961"," 1749520.0"
"96","Ireland","1961","   56400.0"
"97","Iran, Islamic Rep.","1961","  592710.0"
"98","Iraq","1961","   88000.0"
"99","Iceland","1961","   21200.0"
"100","Israel","1961","    5110.0"
"101","Italy","1961","  206830.0"
"102","Jamaica","1961","    5330.0"
"103","Jordan","1961","   10840.0"
"104","Japan","1961","   71100.0"
"105","Kenya","1961","  252000.0"
"106","Cambodia","1961","   35180.0"
"107","Kiribati","1961","     390.0"
"108","St. Kitts and Nevis","1961","     200.0"
"109","Korea, Rep.","1961","   21130.0"
"110","Kuwait","1961","    1350.0"
"111","Latin America & Caribbean (excluding high income)","1961"," 5308020.0"
"112","Lao PDR","1961","   15500.0"
"113","Lebanon","1961","    5620.0"
"114","Liberia","1961","   25830.0"
"115","Libya","1961","  111700.0"
"116","St. Lucia","1961","     170.0"
"117","Latin America & Caribbean","1961"," 5613377.0"
"118","Least developed countries: UN classification","1961"," 7293950.0"
"119","Low income","1961"," 4648970.0"
"120","Liechtenstein","1961","      90.0"
"121","Sri Lanka","1961","   17230.0"
"122","Lower middle income","1961"," 9007155.1"
"123","Low & middle income","1961","25667280.1"
"124","Lesotho","1961","   25810.0"
"125","Late-demographic dividend","1961"," 8114925.0"
"126","Morocco","1961","  233700.0"
"127","Madagascar","1961","  351450.0"
"128","Maldives","1961","      50.0"
"129","Middle East & North Africa","1961"," 2890240.0"
"130","Mexico","1961","  983160.0"
"131","Middle income","1961","21018313.1"
"132","Mali","1961","  316980.0"
"133","Malta","1961","     180.0"
"134","Myanmar","1961","  104300.0"
"135","Middle East & North Africa (excluding high income)","1961"," 2008890.0"
"136","Mongolia","1961"," 1406830.0"
"137","Mozambique","1961","  466490.0"
"138","Mauritania","1961","  395220.0"
"139","Mauritius","1961","     990.0"
"140","Malawi","1961","   32000.0"
"141","Malaysia","1961","   31185.0"
"142","North America","1961"," 5173344.0"
"143","Namibia","1961","  386420.0"
"144","New Caledonia","1961","    2610.0"
"145","Niger","1961","  315000.0"
"146","Nigeria","1961","  531765.1"
"147","Nicaragua","1961","   34300.0"
"148","Netherlands","1961","   23140.0"
"149","Norway","1961","   10340.0"
"150","Nepal","1961","   35530.0"
"151","Nauru","1961","       3.0"
"152","New Zealand","1961","  157770.0"
"153","OECD members","1961","13470284.0"
"154","Oman","1961","   10350.0"
"155","Other small states","1961","  809000.0"
"156","Pakistan","1961","  357300.0"
"157","Panama","1961","   16240.0"
"158","Peru","1961","  169560.0"
"159","Philippines","1961","   77130.0"
"160","Papua New Guinea","1961","    4950.0"
"161","Poland","1961","  203220.0"
"162","Pre-demographic dividend","1961"," 7334575.1"
"163","Puerto Rico","1961","    6160.0"
"164","Korea, Dem. People’s Rep.","1961","   23800.0"
"165","Portugal","1961","   38750.0"
"166","Paraguay","1961","  104110.0"
"167","West Bank and Gaza","1961","    3660.0"
"168","Pacific island small states","1961","    5113.0"
"169","Post-demographic dividend","1961","11795144.0"
"170","French Polynesia","1961","     440.0"
"171","Qatar","1961","     510.0"
"172","Romania","1961","  146010.0"
"173","Rwanda","1961","   13150.0"
"174","South Asia","1961"," 2635040.0"
"175","Saudi Arabia","1961","  861700.0"
"176","Sudan","1961"," 1088400.0"
"177","Senegal","1961","   86470.0"
"178","Singapore","1961","     140.0"
"179","Solomon Islands","1961","     550.0"
"180","Sierra Leone","1961","   26120.0"
"181","El Salvador","1961","   12520.0"
"182","San Marino","1961","      10.0"
"183","Somalia","1961","  439050.0"
"184","Sub-Saharan Africa (excluding high income)","1961"," 9439835.1"
"185","Sub-Saharan Africa","1961"," 9439885.1"
"186","Small states","1961","  836453.0"
"187","Sao Tome and Principe","1961","     350.0"
"188","Suriname","1961","     410.0"
"189","Sweden","1961","   42370.0"
"190","Swaziland","1961","   14680.0"
"191","Seychelles","1961","      50.0"
"192","Syrian Arab Republic","1961","  149410.0"
"193","Turks and Caicos Islands","1961","      10.0"
"194","Chad","1961","  479000.0"
"195","East Asia & Pacific (IDA & IBRD countries)","1961"," 5671438.0"
"196","Europe & Central Asia (IDA & IBRD countries)","1961","  783450.0"
"197","Togo","1961","   30700.0"
"198","Thailand","1961","  116530.0"
"199","Latin America & the Caribbean (IDA & IBRD countries)","1961"," 5571190.0"
"200","Timor-Leste","1961","    2300.0"
"201","Middle East & North Africa (IDA & IBRD countries)","1961"," 2005230.0"
"202","Tonga","1961","     270.0"
"203","South Asia (IDA & IBRD)","1961"," 2635040.0"
"204","Sub-Saharan Africa (IDA & IBRD countries)","1961"," 9439885.1"
"205","Trinidad and Tobago","1961","     970.0"
"206","Tunisia","1961","   86480.0"
"207","Turkey","1961","  365170.0"
"208","Tuvalu","1961","      20.0"
"209","Tanzania","1961","  260000.0"
"210","Uganda","1961","   90180.0"
"211","Upper middle income","1961","12011158.0"
"212","Uruguay","1961","  163540.0"
"213","United States","1961"," 4475090.0"
"214","St. Vincent and the Grenadines","1961","     100.0"
"215","Venezuela, RB","1961","  192320.0"
"216","British Virgin Islands","1961","      60.0"
"217","Virgin Islands (U.S.)","1961","     120.0"
"218","Vietnam","1961","   62920.0"
"219","Vanuatu","1961","    1050.0"
"220","World","1961","38856763.1"
"221","Samoa","1961","     560.0"
"222","Yemen, Rep.","1961","  233370.0"
"223","South Africa","1961"," 1013350.0"
"224","Zambia","1961","  193070.0"
"225","Zimbabwe","1961","  109850.0"
"226","Aruba","1962","      20.0"
"227","Afghanistan","1962","  377600.0"
"228","Angola","1962","  572000.0"
"229","Albania","1962","   12320.0"
"230","Andorra","1962","     260.0"
"231","Arab World","1962"," 4215840.0"
"232","United Arab Emirates","1962","    2080.0"
"233","Argentina","1962"," 1364340.0"
"234","American Samoa","1962","      30.0"
"235","Antigua and Barbuda","1962","      90.0"
"236","Australia","1962"," 4636880.0"
"237","Austria","1962","   35310.0"
"238","Burundi","1962","   15900.0"
"239","Benin","1962","   14620.0"
"240","Burkina Faso","1962","   81490.0"
"241","Bangladesh","1962","   94770.0"
"242","Bulgaria","1962","   56850.0"
"243","Bahrain","1962","      70.0"
"244","Bahamas, The","1962","     100.0"
"245","Belize","1962","     790.0"
"246","Bermuda","1962","       3.0"
"247","Bolivia","1962","  299420.0"
"248","Brazil","1962"," 1559130.0"
"249","Barbados","1962","     190.0"
"250","Brunei Darussalam","1962","     210.0"
"251","Bhutan","1962","    3630.0"
"252","Botswana","1962","  260000.0"
"253","Central African Republic","1962","   47480.0"
"254","Canada","1962","  699530.0"
"255","Central Europe and the Baltics","1962","  476470.0"
"256","Switzerland","1962","   17334.0"
"257","Channel Islands","1962","      90.0"
"258","Chile","1962","  135560.0"
"259","China","1962"," 3451000.0"
"260","Cote d'Ivoire","1962","  158800.0"
"261","Cameroon","1962","   75700.0"
"262","Congo, Dem. Rep.","1962","  250700.0"
"263","Congo, Rep.","1962","  105400.0"
"264","Colombia","1962","  409720.0"
"265","Comoros","1962","     950.0"
"266","Cabo Verde","1962","     650.0"
"267","Costa Rica","1962","   14100.0"
"268","Caribbean small states","1962","   22370.0"
"269","Cuba","1962","   38050.0"
"270","Cayman Islands","1962","      27.0"
"271","Cyprus","1962","    4020.0"
"272","Germany","1962","  193930.0"
"273","Djibouti","1962","   13010.0"
"274","Dominica","1962","     180.0"
"275","Denmark","1962","   31410.0"
"276","Dominican Republic","1962","   22050.0"
"277","Algeria","1962","  449000.0"
"278","East Asia & Pacific (excluding high income)","1962"," 5728141.0"
"279","Early-demographic dividend","1962","11595580.0"
"280","East Asia & Pacific","1962","10628171.0"
"281","Europe & Central Asia (excluding high income)","1962","  582530.0"
"282","Europe & Central Asia","1962"," 2529870.0"
"283","Ecuador","1962","   47100.0"
"284","Egypt, Arab Rep.","1962","   25050.0"
"285","Euro area","1962"," 1351851.0"
"286","Spain","1962","  332320.0"
"287","Ethiopia","1962","  582490.0"
"288","European Union","1962"," 2099241.0"
"289","Fragile and conflict affected situations","1962"," 4475060.0"
"290","Finland","1962","   27851.0"
"291","Fiji","1962","    2270.0"
"292","France","1962","  344400.0"
"293","Faroe Islands","1962","      30.0"
"294","Gabon","1962","   52100.0"
"295","United Kingdom","1962","  197790.0"
"296","Ghana","1962","  117000.0"
"297","Guinea","1962","  146190.0"
"298","Gambia, The","1962","    5250.0"
"299","Guinea-Bissau","1962","   13580.0"
"300","Equatorial Guinea","1962","    3190.0"
"301","Greece","1962","   89020.0"
"302","Grenada","1962","     220.0"
"303","Greenland","1962","    2350.0"
"304","Guatemala","1962","   26580.0"
"305","Guam","1962","     160.0"
"306","Guyana","1962","   13590.0"
"307","High income","1962","13174190.0"
"308","Hong Kong SAR, China","1962","     140.0"
"309","Honduras","1962","   29900.0"
"310","Heavily indebted poor countries (HIPC)","1962"," 7000550.0"
"311","Haiti","1962","   16650.0"
"312","Hungary","1962","   70120.0"
"313","IBRD only","1962","16125921.0"
"314","IDA & IBRD total","1962","26216921.0"
"315","IDA total","1962","10091000.0"
"316","IDA blend","1962"," 2856650.0"
"317","Indonesia","1962","  386000.0"
"318","IDA only","1962"," 7234350.0"
"319","Isle of Man","1962","     325.0"
"320","India","1962"," 1764820.0"
"321","Ireland","1962","   56470.0"
"322","Iran, Islamic Rep.","1962","  592900.0"
"323","Iraq","1962","   88550.0"
"324","Iceland","1962","   21200.0"
"325","Israel","1962","    5050.0"
"326","Italy","1962","  206520.0"
"327","Jamaica","1962","    5350.0"
"328","Jordan","1962","   10860.0"
"329","Japan","1962","   71200.0"
"330","Kenya","1962","  252050.0"
"331","Cambodia","1962","   35330.0"
"332","Kiribati","1962","     390.0"
"333","St. Kitts and Nevis","1962","     200.0"
"334","Korea, Rep.","1962","   20810.0"
"335","Kuwait","1962","    1350.0"
"336","Latin America & Caribbean (excluding high income)","1962"," 5362040.0"
"337","Lao PDR","1962","   15500.0"
"338","Lebanon","1962","    5700.0"
"339","Liberia","1962","   25810.0"
"340","Libya","1962","  113830.0"
"341","St. Lucia","1962","     170.0"
"342","Latin America & Caribbean","1962"," 5667887.0"
"343","Least developed countries: UN classification","1962"," 7304460.0"
"344","Low income","1962"," 4657900.0"
"345","Liechtenstein","1962","      90.0"
"346","Sri Lanka","1962","   17070.0"
"347","Lower middle income","1962"," 9037440.0"
"348","Low & middle income","1962","25780478.0"
"349","Lesotho","1962","   25760.0"
"350","Late-demographic dividend","1962"," 8213088.0"
"351","Morocco","1962","  235800.0"
"352","Madagascar","1962","  351700.0"
"353","Maldives","1962","      50.0"
"354","Middle East & North Africa","1962"," 2889290.0"
"355","Mexico","1962","  981790.0"
"356","Middle income","1962","21122581.0"
"357","Mali","1962","  317030.0"
"358","Malta","1962","     170.0"
"359","Myanmar","1962","  104700.0"
"360","Middle East & North Africa (excluding high income)","1962"," 2007810.0"
"361","Mongolia","1962"," 1406830.0"
"362","Mozambique","1962","  466600.0"
"363","Mauritania","1962","  395220.0"
"364","Mauritius","1962","    1000.0"
"365","Malawi","1962","   33000.0"
"366","Malaysia","1962","   31878.0"
"367","North America","1962"," 5139443.0"
"368","Namibia","1962","  386420.0"
"369","New Caledonia","1962","    2610.0"
"370","Niger","1962","  315000.0"
"371","Nigeria","1962","  539000.0"
"372","Nicaragua","1962","   34300.0"
"373","Netherlands","1962","   23030.0"
"374","Norway","1962","   10310.0"
"375","Nepal","1962","   35530.0"
"376","Nauru","1962","       3.0"
"377","New Zealand","1962","  158570.0"
"378","OECD members","1962","13455945.0"
"379","Oman","1962","   10350.0"
"380","Other small states","1962","  809260.0"
"381","Pakistan","1962","  358400.0"
"382","Panama","1962","   16340.0"
"383","Peru","1962","  170990.0"
"384","Philippines","1962","   77920.0"
"385","Papua New Guinea","1962","    4950.0"
"386","Poland","1962","  202620.0"
"387","Pre-demographic dividend","1962"," 7350690.0"
"388","Puerto Rico","1962","    6010.0"
"389","Korea, Dem. People’s Rep.","1962","   23800.0"
"390","Portugal","1962","   38810.0"
"391","Paraguay","1962","  105220.0"
"392","West Bank and Gaza","1962","    3660.0"
"393","Pacific island small states","1962","    5133.0"
"394","Post-demographic dividend","1962","11782405.0"
"395","French Polynesia","1962","     440.0"
"396","Qatar","1962","     510.0"
"397","Romania","1962","  146880.0"
"398","Rwanda","1962","   13250.0"
"399","South Asia","1962"," 2651870.0"
"400","Saudi Arabia","1962","  861900.0"
"401","Sudan","1962"," 1089400.0"
"402","Senegal","1962","   86470.0"
"403","Singapore","1962","     140.0"
"404","Solomon Islands","1962","     550.0"
"405","Sierra Leone","1962","   26170.0"
"406","El Salvador","1962","   12520.0"
"407","San Marino","1962","      10.0"
"408","Somalia","1962","  439100.0"
"409","Sub-Saharan Africa (excluding high income)","1962"," 9448090.0"
"410","Sub-Saharan Africa","1962"," 9448140.0"
"411","Small states","1962","  836763.0"
"412","Sao Tome and Principe","1962","     350.0"
"413","Suriname","1962","     420.0"
"414","Sweden","1962","   41720.0"
"415","Swaziland","1962","   14780.0"
"416","Seychelles","1962","      50.0"
"417","Syrian Arab Republic","1962","  149700.0"
"418","Turks and Caicos Islands","1962","      10.0"
"419","Chad","1962","  479000.0"
"420","East Asia & Pacific (IDA & IBRD countries)","1962"," 5704311.0"
"421","Europe & Central Asia (IDA & IBRD countries)","1962","  785150.0"
"422","Togo","1962","   30700.0"
"423","Thailand","1962","  119800.0"
"424","Latin America & the Caribbean (IDA & IBRD countries)","1962"," 5623300.0"
"425","Timor-Leste","1962","    2300.0"
"426","Middle East & North Africa (IDA & IBRD countries)","1962"," 2004150.0"
"427","Tonga","1962","     280.0"
"428","South Asia (IDA & IBRD)","1962"," 2651870.0"
"429","Sub-Saharan Africa (IDA & IBRD countries)","1962"," 9448140.0"
"430","Trinidad and Tobago","1962","     970.0"
"431","Tunisia","1962","   86270.0"
"432","Turkey","1962","  366480.0"
"433","Tuvalu","1962","      20.0"
"434","Tanzania","1962","  260000.0"
"435","Uganda","1962","   91140.0"
"436","Upper middle income","1962","12085141.0"
"437","Uruguay","1962","  162490.0"
"438","United States","1962"," 4439910.0"
"439","St. Vincent and the Grenadines","1962","     100.0"
"440","Venezuela, RB","1962","  193020.0"
"441","British Virgin Islands","1962","      60.0"
"442","Virgin Islands (U.S.)","1962","     120.0"
"443","Vietnam","1962","   62970.0"
"444","Vanuatu","1962","    1050.0"
"445","World","1962","38954671.0"
"446","Samoa","1962","     570.0"
"447","Yemen, Rep.","1962","  233480.0"
"448","South Africa","1962"," 1001350.0"
"449","Zambia","1962","  193600.0"
"450","Zimbabwe","1962","  110700.0"
"451","Aruba","1963","      20.0"
"452","Afghanistan","1963","  378100.0"
"453","Angola","1963","  572200.0"
"454","Albania","1963","   12330.0"
"455","Andorra","1963","     260.0"
"456","Arab World","1963"," 4218970.0"
"457","United Arab Emirates","1963","    2080.0"
"458","Argentina","1963"," 1348750.0"
"459","American Samoa","1963","      30.0"
"460","Antigua and Barbuda","1963","     100.0"
"461","Australia","1963"," 4664710.0"
"462","Austria","1963","   34898.0"
"463","Burundi","1963","   16040.0"
"464","Benin","1963","   14820.0"
"465","Burkina Faso","1963","   81590.0"
"466","Bangladesh","1963","   94800.0"
"467","Bulgaria","1963","   56930.0"
"468","Bahrain","1963","      70.0"
"469","Bahamas, The","1963","     100.0"
"470","Belize","1963","     800.0"
"471","Bermuda","1963","       3.0"
"472","Bolivia","1963","  298070.0"
"473","Brazil","1963"," 1615110.0"
"474","Barbados","1963","     190.0"
"475","Brunei Darussalam","1963","     210.0"
"476","Bhutan","1963","    3630.0"
"477","Botswana","1963","  260000.0"
"478","Central African Republic","1963","   47560.0"
"479","Canada","1963","  700810.0"
"480","Central Europe and the Baltics","1963","  475850.0"
"481","Switzerland","1963","   17192.0"
"482","Channel Islands","1963","      90.0"
"483","Chile","1963","  137260.0"
"484","China","1963"," 3479500.0"
"485","Cote d'Ivoire","1963","  158800.0"
"486","Cameroon","1963","   76200.0"
"487","Congo, Dem. Rep.","1963","  251000.0"
"488","Congo, Rep.","1963","  105420.0"
"489","Colombia","1963","  414930.0"
"490","Comoros","1963","     950.0"
"491","Cabo Verde","1963","     650.0"
"492","Costa Rica","1963","   14200.0"
"493","Caribbean small states","1963","   22400.0"
"494","Cuba","1963","   40380.0"
"495","Cayman Islands","1963","      27.0"
"496","Cyprus","1963","    4050.0"
"497","Germany","1963","  194020.0"
"498","Djibouti","1963","   13010.0"
"499","Dominica","1963","     170.0"
"500","Denmark","1963","   30880.0"
"501","Dominican Republic","1963","   22200.0"
"502","Algeria","1963","  445100.0"
"503","East Asia & Pacific (excluding high income)","1963"," 5763075.0"
"504","Early-demographic dividend","1963","11579690.0"
"505","East Asia & Pacific","1963","10690515.0"
"506","Europe & Central Asia (excluding high income)","1963","  590200.0"
"507","Europe & Central Asia","1963"," 2531587.0"
"508","Ecuador","1963","   47200.0"
"509","Egypt, Arab Rep.","1963","   24900.0"
"510","Euro area","1963"," 1349883.0"
"511","Spain","1963","  331370.0"
"512","Ethiopia","1963","  583800.0"
"513","European Union","1963"," 2093893.0"
"514","Fragile and conflict affected situations","1963"," 4482220.0"
"515","Finland","1963","   28065.0"
"516","Fiji","1963","    2280.0"
"517","France","1963","  343540.0"
"518","Faroe Islands","1963","      30.0"
"519","Gabon","1963","   52250.0"
"520","United Kingdom","1963","  197470.0"
"521","Ghana","1963","  117000.0"
"522","Guinea","1963","  145950.0"
"523","Gambia, The","1963","    5260.0"
"524","Guinea-Bissau","1963","   13580.0"
"525","Equatorial Guinea","1963","    3240.0"
"526","Greece","1963","   90210.0"
"527","Grenada","1963","     220.0"
"528","Greenland","1963","    2350.0"
"529","Guatemala","1963","   26700.0"
"530","Guam","1963","     170.0"
"531","Guyana","1963","   13590.0"
"532","High income","1963","13172527.0"
"533","Hong Kong SAR, China","1963","     140.0"
"534","Honduras","1963","   29950.0"
"535","Heavily indebted poor countries (HIPC)","1963"," 7017610.0"
"536","Haiti","1963","   16700.0"
"537","Hungary","1963","   69840.0"
"538","IBRD only","1963","16208575.0"
"539","IDA & IBRD total","1963","26341434.1"
"540","IDA total","1963","10132859.1"
"541","IDA blend","1963"," 2879649.1"
"542","Indonesia","1963","  385500.0"
"543","IDA only","1963"," 7253210.0"
"544","Isle of Man","1963","     322.0"
"545","India","1963"," 1761540.0"
"546","Ireland","1963","   56710.0"
"547","Iran, Islamic Rep.","1963","  593500.0"
"548","Iraq","1963","   89100.0"
"549","Iceland","1963","   21200.0"
"550","Israel","1963","    5220.0"
"551","Italy","1963","  205100.0"
"552","Jamaica","1963","    5350.0"
"553","Jordan","1963","   10870.0"
"554","Japan","1963","   70200.0"
"555","Kenya","1963","  252100.0"
"556","Cambodia","1963","   35420.0"
"557","Kiribati","1963","     430.0"
"558","St. Kitts and Nevis","1963","     200.0"
"559","Korea, Rep.","1963","   21000.0"
"560","Kuwait","1963","    1350.0"
"561","Latin America & Caribbean (excluding high income)","1963"," 5414230.0"
"562","Lao PDR","1963","   15000.0"
"563","Lebanon","1963","    5700.0"
"564","Liberia","1963","   25810.0"
"565","Libya","1963","  115850.0"
"566","St. Lucia","1963","     180.0"
"567","Latin America & Caribbean","1963"," 5720777.0"
"568","Least developed countries: UN classification","1963"," 7322370.0"
"569","Low income","1963"," 4674860.0"
"570","Liechtenstein","1963","      90.0"
"571","Sri Lanka","1963","   20600.0"
"572","Lower middle income","1963"," 9064259.1"
"573","Low & middle income","1963","25907461.1"
"574","Lesotho","1963","   25760.0"
"575","Late-demographic dividend","1963"," 8315602.0"
"576","Morocco","1963","  238500.0"
"577","Madagascar","1963","  351950.0"
"578","Maldives","1963","      50.0"
"579","Middle East & North Africa","1963"," 2892120.0"
"580","Mexico","1963","  981090.0"
"581","Middle income","1963","21232604.1"
"582","Mali","1963","  317080.0"
"583","Malta","1963","     160.0"
"584","Myanmar","1963","  105070.0"
"585","Middle East & North Africa (excluding high income)","1963"," 2010260.0"
"586","Mongolia","1963"," 1406830.0"
"587","Mozambique","1963","  466700.0"
"588","Mauritania","1963","  395230.0"
"589","Mauritius","1963","    1000.0"
"590","Malawi","1963","   33500.0"
"591","Malaysia","1963","   33142.0"
"592","North America","1963"," 5115243.0"
"593","Namibia","1963","  386420.0"
"594","New Caledonia","1963","    2610.0"
"595","Niger","1963","  315000.0"
"596","Nigeria","1963","  560169.1"
"597","Nicaragua","1963","   34680.0"
"598","Netherlands","1963","   22890.0"
"599","Norway","1963","   10280.0"
"600","Nepal","1963","   35630.0"
"601","Nauru","1963","       3.0"
"602","New Zealand","1963","  158930.0"
"603","OECD members","1963","13461535.0"
"604","Oman","1963","   10350.0"
"605","Other small states","1963","  809450.0"
"606","Pakistan","1963","  358800.0"
"607","Panama","1963","   16440.0"
"608","Peru","1963","  174300.0"
"609","Philippines","1963","   78720.0"
"610","Papua New Guinea","1963","    4950.0"
"611","Poland","1963","  201840.0"
"612","Pre-demographic dividend","1963"," 7389229.1"
"613","Puerto Rico","1963","    6050.0"
"614","Korea, Dem. People’s Rep.","1963","   23800.0"
"615","Portugal","1963","   38870.0"
"616","Paraguay","1963","  106400.0"
"617","West Bank and Gaza","1963","    3660.0"
"618","Pacific island small states","1963","    5193.0"
"619","Post-demographic dividend","1963","11782545.0"
"620","French Polynesia","1963","     440.0"
"621","Qatar","1963","     510.0"
"622","Romania","1963","  147240.0"
"623","Rwanda","1963","   13350.0"
"624","South Asia","1963"," 2653150.0"
"625","Saudi Arabia","1963","  862120.0"
"626","Sudan","1963"," 1090400.0"
"627","Senegal","1963","   87470.0"
"628","Singapore","1963","     130.0"
"629","Solomon Islands","1963","     550.0"
"630","Sierra Leone","1963","   26240.0"
"631","El Salvador","1963","   12580.0"
"632","San Marino","1963","      10.0"
"633","Somalia","1963","  439150.0"
"634","Sub-Saharan Africa (excluding high income)","1963"," 9476549.1"
"635","Sub-Saharan Africa","1963"," 9476599.1"
"636","Small states","1963","  837043.0"
"637","Sao Tome and Principe","1963","     350.0"
"638","Suriname","1963","     410.0"
"639","Sweden","1963","   39810.0"
"640","Swaziland","1963","   14740.0"
"641","Seychelles","1963","      50.0"
"642","Syrian Arab Republic","1963","  150410.0"
"643","Turks and Caicos Islands","1963","      10.0"
"644","Chad","1963","  479000.0"
"645","East Asia & Pacific (IDA & IBRD countries)","1963"," 5739245.0"
"646","Europe & Central Asia (IDA & IBRD countries)","1963","  792040.0"
"647","Togo","1963","   30700.0"
"648","Thailand","1963","  124600.0"
"649","Latin America & the Caribbean (IDA & IBRD countries)","1963"," 5673800.0"
"650","Timor-Leste","1963","    2300.0"
"651","Middle East & North Africa (IDA & IBRD countries)","1963"," 2006600.0"
"652","Tonga","1963","     290.0"
"653","South Asia (IDA & IBRD)","1963"," 2653150.0"
"654","Sub-Saharan Africa (IDA & IBRD countries)","1963"," 9476599.1"
"655","Trinidad and Tobago","1963","     980.0"
"656","Tunisia","1963","   86060.0"
"657","Turkey","1963","  373700.0"
"658","Tuvalu","1963","      20.0"
"659","Tanzania","1963","  270000.0"
"660","Uganda","1963","   92580.0"
"661","Upper middle income","1963","12168345.0"
"662","Uruguay","1963","  161410.0"
"663","United States","1963"," 4414430.0"
"664","St. Vincent and the Grenadines","1963","     110.0"
"665","Venezuela, RB","1963","  193720.0"
"666","British Virgin Islands","1963","      60.0"
"667","Virgin Islands (U.S.)","1963","     140.0"
"668","Vietnam","1963","   63020.0"
"669","Vanuatu","1963","    1050.0"
"670","World","1963","39079991.1"
"671","Samoa","1963","     570.0"
"672","Yemen, Rep.","1963","  233600.0"
"673","South Africa","1963","  989950.0"
"674","Zambia","1963","  194040.0"
"675","Zimbabwe","1963","  111550.0"
"676","Aruba","1964","      20.0"
"677","Afghanistan","1964","  378730.0"
"678","Angola","1964","  572500.0"
"679","Albania","1964","   12300.0"
"680","Andorra","1964","     260.0"
"681","Arab World","1964"," 4220260.0"
"682","United Arab Emirates","1964","    2080.0"
"683","Argentina","1964"," 1332970.0"
"684","American Samoa","1964","      30.0"
"685","Antigua and Barbuda","1964","      90.0"
"686","Australia","1964"," 4690090.0"
"687","Austria","1964","   34765.0"
"688","Burundi","1964","   16050.0"
"689","Benin","1964","   15020.0"
