"","Country.Name","Year","Population","Total.Land","Agriculture.Land","Forest.Area","Population.Density","CO2Emission","Region","IncomeGroup"
"102","Mauritania",1991,2085202,1030700,396660,0.3931309,2.023093,0.451955734,"Sub-Saharan Africa","Lower middle income"
"103","Mauritius",1991,1070266,2030,1100,20.28571,527.2246,1.421894183,"Sub-Saharan Africa","Upper middle income"
"104","Netherlands",1991,15069798,33760,19910,10.26363,446.3803,10.959293947,"Europe & Central Asia","High income"
"105","Nepal",1991,19245054,143000,41470,33.04406,134.5808,0.049922125,"South Asia","Low income"
"106","New Zealand",1991,3495100,263310,161190,36.86187,13.27371,6.891034877,"East Asia & Pacific","High income"
"107","Pakistan",1991,110730420,770880,352700,3.224756,143.6416,0.6162974,"South Asia","Lower middle income"
"108","Panama",1991,2523181,74340,21340,67.5639,33.94109,1.286191914,"Latin America & Caribbean","Upper middle income"
"109","Portugal",1991,9960235,91500,39200,37.45027,108.855,4.416863558,"Europe & Central Asia","High income"
"110","Romania",1991,23001155,229460,147980,27.76301,100.2404,5.979301257,"Europe & Central Asia","Upper middle income"
"111","Saudi Arabia",1991,16867829,2149690,1236720,0.4544841,7.846633,15.874479579,"Middle East & North Africa","High income"
"112","Sudan",1991,20893625,2376000,1229650,12.85896,11.1785,0.184177591,"Sub-Saharan Africa","Lower middle income"
"113","Singapore",1991,3135083,670,12,24.40299,4679.228,15.12729041,"East Asia & Pacific","High income"
"114","Sierra Leone",1991,4337239,72180,28250,42.92602,60.08921,0.125974843,"Sub-Saharan Africa","Low income"
"115","Sweden",1991,8617375,410340,33580,68.414,21.00057,5.979200975,"Europe & Central Asia","High income"
"116","Thailand",1991,57258401,510890,215160,28.00133,112.0758,1.74267418,"East Asia & Pacific","Upper middle income"
"117","Tanzania",1991,26315013,885800,324030,62.67781,29.70762,0.091134973,"Sub-Saharan Africa","Low income"
"118","Uganda",1991,18040438,199810,120320,23.33617,90.28796,0.043295567,"Sub-Saharan Africa","Low income"
"119","United States",1991,252981000,9158960,4269480,33.03417,27.62115,19.062236658,"North America","High income"
"120","Samoa",1991,164076,2830,540,47.38516,57.97739,0.759879568,"East Asia & Pacific","Upper middle income"
"121","Yemen, Rep.",1991,12661614,527970,236310,1.039832,23.98169,0.788043847,"Middle East & North Africa","Lower middle income"
"122","South Africa",1991,37692367,1213090,960050,7.617737,31.07137,8.824569229,"Sub-Saharan Africa","Upper middle income"
"123","Afghanistan",1992,13981231,652860,380300,2.067825,21.41536,0.099666474,"South Asia","Low income"
"124","Argentina",1992,33655151,2736690,1277550,12.49919,12.29776,3.608582027,"Latin America & Caribbean","Upper middle income"
"125","Australia",1992,17495000,7682300,4661780,16.73991,2.277313,15.317768505,"East Asia & Pacific","High income"
"126","Austria",1992,7840709,82580,30130,45.87551,94.94683,7.226236428,"Europe & Central Asia","High income"
"127","Bulgaria",1992,8540164,110630,61540,30.15999,77.19573,6.376764779,"Europe & Central Asia","Upper middle income"
"128","Brunei Darussalam",1992,273963,5270,110,77.76091,51.98539,19.033497224,"East Asia & Pacific","High income"
"129","Central African Republic",1992,3095807,622980,50200,36.16296,4.969352,0.069885817,"Sub-Saharan Africa","Low income"
"130","Canada",1992,28519597,9093510,678140,38.28871,3.136258,15.467063963,"North America","High income"
"131","China",1992,1164970000,9388250,5143140,17.16109,124.0881,2.31420729,"East Asia & Pacific","Upper middle income"
"132","Congo, Dem. Rep.",1992,37346147,2267050,260000,70.4617,16.47346,0.075409546,"Sub-Saharan Africa","Low income"
"133","Cabo Verde",1992,359090,4030,690,15.53846,89.10422,0.296145813,"Sub-Saharan Africa","Lower middle income"
"134","Costa Rica",1992,3257466,51060,21600,49.47904,63.79683,1.163996186,"Latin America & Caribbean","Upper middle income"
"135","Cuba",1992,10733363,107400,67750,19.86406,99.9382,2.924139713,"Latin America & Caribbean","Upper middle income"
"136","Cyprus",1992,800609,9240,1596,17.66342,86.646,6.471912007,"Europe & Central Asia","High income"
"137","Algeria",1992,27181094,2381740,388650,0.6925189,11.41228,2.975978561,"Middle East & North Africa","Upper middle income"
"138","Egypt, Arab Rep.",1992,60035536,995450,29962.8,0.04721483,60.30995,1.353604755,"Middle East & North Africa","Lower middle income"
"139","Spain",1992,39157685,499440,302790,28.91835,78.40318,5.973836221,"Europe & Central Asia","High income"
"140","Ethiopia",1992,51647768,1101000,561050,14.93569,46.90987,0.057439133,"Sub-Saharan Africa","Low income"
"141","Finland",1992,5041992,304590,24065,72.19213,16.55337,9.415521088,"Europe & Central Asia","High income"
"142","Fiji",1992,744531,18270,4350,52.45813,40.75156,0.970273904,"East Asia & Pacific","Upper middle income"
"143","France",1992,58851216,547566,303843,26.67551,107.4778,6.216012937,"Europe & Central Asia","High income"
"144","Gambia, The",1992,979718,10120,5580,44.05138,96.81008,0.202117344,"Sub-Saharan Africa","Low income"
"145","Greece",1992,10399061,128900,91670,26.06206,80.67542,7.260257729,"Europe & Central Asia","High income"
"146","Haiti",1992,7386975,27560,15750,4.1582,268.0325,0.123110746,"Latin America & Caribbean","Low income"
"147","Indonesia",1992,187766086,1811570,413510,63.32507,103.6483,1.078874707,"East Asia & Pacific","Lower middle income"
"148","India",1992,906021106,2973190,1813050,21.60279,304.7303,0.771602203,"South Asia","Lower middle income"
"149","Ireland",1992,3558430,68890,44130,7.243286,51.6538,8.721211602,"Europe & Central Asia","High income"
"150","Iran, Islamic Rep.",1992,58260738,1628760,637870,5.603023,35.77,3.929355358,"Middle East & North Africa","Upper middle income"
"151","Iraq",1992,18458187,437370,95500,1.844662,42.20268,3.341151869,"Middle East & North Africa","Upper middle income"
"152","Italy",1992,56797087,294110,159780,26.3364,193.1151,7.404168932,"Europe & Central Asia","High income"
"153","Japan",1992,124229000,364600,56150,68.39057,340.7268,9.046579237,"East Asia & Pacific","High income"
"154","Kenya",1992,24963953,569140,270720,7.89015,43.86259,0.22195351,"Sub-Saharan Africa","Lower middle income"
"155","Korea, Rep.",1992,43747962,96460,21360,65.86772,453.5348,6.498142885,"East Asia & Pacific","High income"
"156","Lebanon",1992,2821862,10230,6060,12.80547,275.8418,3.67107782,"Middle East & North Africa","Upper middle income"
"157","Liberia",1992,2022729,96320,25000,50.55025,21.00009,0.141405992,"Sub-Saharan Africa","Low income"
"158","Libya",1992,4651004,1759540,154650,0.1233277,2.643307,8.011256709,"Middle East & North Africa","Upper middle income"
"159","Sri Lanka",1992,17524000,62710,23440,36.12821,279.4451,0.295887811,"South Asia","Lower middle income"
"160","Mali",1992,8868263,1220190,322400,5.353265,7.267936,0.050033135,"Sub-Saharan Africa","Low income"
"161","Malta",1992,367618,320,130,1.09375,1148.806,5.556090833,"Middle East & North Africa","High income"
"162","Myanmar",1992,41711465,653540,103980,58.67736,63.82389,0.117188667,"East Asia & Pacific","Lower middle income"
"163","Mauritania",1992,2141445,1030700,396780,0.3836228,2.077661,0.464059082,"Sub-Saharan Africa","Lower middle income"
"164","Mauritius",1992,1084441,2030,1090,20.32512,534.2074,1.575762997,"Sub-Saharan Africa","Upper middle income"
"165","Netherlands",1992,15184166,33760,19860,10.30806,449.768,10.683788165,"Europe & Central Asia","High income"
"166","Nepal",1992,19773772,143000,41582,32.4028,138.2781,0.067317505,"South Asia","Low income"
"167","New Zealand",1992,3531700,263310,159600,37.04455,13.41271,7.10204151,"East Asia & Pacific","High income"
"168","Pakistan",1992,113747135,770880,353800,3.17144,147.5549,0.639927766,"South Asia","Lower middle income"
"169","Panama",1992,2576018,74340,21500,67.33118,34.65184,1.648430252,"Latin America & Caribbean","Upper middle income"
"170","Portugal",1992,9952494,91500,38780,37.34863,108.7704,4.851017443,"Europe & Central Asia","High income"
"171","Romania",1992,22794284,229460,147900,27.76083,99.33881,5.407607363,"Europe & Central Asia","Upper middle income"
"172","Saudi Arabia",1992,17378833,2149690,1237460,0.4544841,8.084344,16.430022775,"Middle East & North Africa","High income"
"173","Sudan",1992,21701476,2376000,1240150,12.78556,11.53785,0.15971432,"Sub-Saharan Africa","Lower middle income"
"174","Singapore",1992,3230698,670,12,24.40299,4821.937,15.559249425,"East Asia & Pacific","High income"
"175","Sierra Leone",1992,4331332,72180,28150,42.65447,60.00737,0.103287857,"Sub-Saharan Africa","Low income"
"176","Sweden",1992,8668067,410340,33440,68.43837,21.12411,5.886699422,"Europe & Central Asia","High income"
"177","Thailand",1992,57837878,510890,213740,28.58972,113.21,1.89804645,"East Asia & Pacific","Upper middle income"
"178","Tanzania",1992,27219619,885800,324000,62.22624,30.72885,0.085411849,"Sub-Saharan Africa","Low income"
"179","Uganda",1992,18652889,199810,120520,22.89475,93.35313,0.042267179,"Sub-Saharan Africa","Low income"
"180","United States",1992,256514000,9158960,4254290,33.04602,28.00689,19.145555759,"North America","High income"
"181","Samoa",1992,165570,2830,520,48.83392,58.5053,0.775170623,"East Asia & Pacific","Upper middle income"
"182","Yemen, Rep.",1992,13325583,527970,234810,1.039832,25.23928,1.066341713,"Middle East & North Africa","Lower middle income"
"183","South Africa",1992,38646788,1213090,964730,7.617737,31.85814,7.965025399,"Sub-Saharan Africa","Upper middle income"
"184","Afghanistan",1993,15095099,652860,379340,2.067825,23.12149,0.089154036,"South Asia","Low income"
"185","Argentina",1993,34110917,2736690,1278500,12.39201,12.4643,3.477159966,"Latin America & Caribbean","Upper middle income"
"186","Australia",1993,17667000,7682300,4602860,16.74381,2.299702,15.701451803,"East Asia & Pacific","High income"
"187","Austria",1993,7905633,82580,29990,45.95059,95.73302,7.223017309,"Europe & Central Asia","High income"
"188","Bulgaria",1993,8472313,110630,61210,30.20338,76.58242,8.035332854,"Europe & Central Asia","Upper middle income"
"189","Brunei Darussalam",1993,281751,5270,110,77.45731,53.46319,17.635376627,"East Asia & Pacific","High income"
"190","Central African Republic",1993,3181222,622980,50200,36.13792,5.106459,0.070314804,"Sub-Saharan Africa","Low income"
"191","Canada",1993,28833410,9093510,678740,38.28353,3.170768,15.457063386,"North America","High income"
"192","China",1993,1178440000,9388250,5182230,17.37263,125.5229,2.442800659,"East Asia & Pacific","Upper middle income"
"193","Congo, Dem. Rep.",1993,38833595,2267050,260000,70.32434,17.12957,0.066760984,"Sub-Saharan Africa","Low income"
"194","Cabo Verde",1993,369014,4030,690,16.14144,91.56675,0.298118771,"Sub-Saharan Africa","Lower middle income"
"195","Costa Rica",1993,3341004,51060,21130,49.11085,65.4329,1.183185055,"Latin America & Caribbean","Upper middle income"
"196","Cuba",1993,10794135,107400,67300,20.21508,100.5041,2.721848856,"Latin America & Caribbean","Upper middle income"
"197","Cyprus",1993,818751,9240,1587,17.77706,88.60942,6.655456909,"Europe & Central Asia","High income"
"198","Algeria",1993,27786259,2381740,388620,0.6888241,11.66637,2.961709023,"Middle East & North Africa","Upper middle income"
"199","Egypt, Arab Rep.",1993,61275601,995450,32460,0.04872168,61.55568,1.520286484,"Middle East & North Africa","Lower middle income"
"200","Spain",1993,39361262,499440,300330,29.55256,78.81079,5.570288803,"Europe & Central Asia","High income"
"201","Ethiopia",1993,53532956,1e+06,305400,14.6913,53.53296,0.056580884,"Sub-Saharan Africa","Low income"
"202","Finland",1993,5066447,304590,23837,72.37926,16.63366,9.948375064,"Europe & Central Asia","High income"
"203","Fiji",1993,755026,18270,4350,52.60865,41.326,1.010211569,"East Asia & Pacific","Upper middle income"
"204","France",1993,59106766,547566,302913,26.83129,107.9446,6.088322359,"Europe & Central Asia","High income"
"205","Gambia, The",1993,1008358,10120,5570,44.23913,99.64012,0.207286499,"Sub-Saharan Africa","Low income"
"206","Greece",1993,10460415,128900,91600,26.29635,81.1514,7.238006236,"Europe & Central Asia","High income"
"207","Haiti",1993,7530705,27560,15750,4.132801,273.2476,0.088136104,"Latin America & Caribbean","Low income"
"208","Indonesia",1993,190879523,1811570,420160,62.26875,105.3669,1.145229554,"East Asia & Pacific","Lower middle income"
"209","India",1993,924057817,2973190,1813820,21.65159,310.7968,0.783172984,"South Asia","Lower middle income"
"210","Ireland",1993,3576261,68890,44040,7.490057,51.91263,8.74130132,"Europe & Central Asia","High income"
"211","Iran, Islamic Rep.",1993,58991218,1628760,641520,5.618348,36.21848,4.026592433,"Middle East & North Africa","Upper middle income"
"212","Iraq",1993,19011917,437370,98700,1.847863,43.46873,3.513677185,"Middle East & North Africa","Upper middle income"
"213","Italy",1993,56831821,294110,159100,26.60127,193.2332,7.248012993,"Europe & Central Asia","High income"
"214","Japan",1993,124536000,364600,55740,68.37027,341.5688,8.912179795,"East Asia & Pacific","High income"
"215","Kenya",1993,25754114,569140,268400,7.685104,45.25093,0.246468467,"Sub-Saharan Africa","Lower middle income"
"216","Korea, Rep.",1993,44194628,96460,21180,65.78271,458.1653,7.284858219,"East Asia & Pacific","High income"
"217","Lebanon",1993,2900854,10230,6060,12.80547,283.5634,4.027456053,"Middle East & North Africa","Upper middle income"
"218","Liberia",1993,2000248,96320,25000,50.23879,20.76669,0.159494723,"Sub-Saharan Africa","Low income"
"219","Libya",1993,4755289,1759540,154650,0.1233277,2.702575,8.190292325,"Middle East & North Africa","Upper middle income"
"220","Sri Lanka",1993,17728000,62710,23200,35.9815,282.6981,0.284415896,"South Asia","Lower middle income"
"221","Mali",1993,9105472,1220190,331400,5.288521,7.462339,0.049937884,"Sub-Saharan Africa","Low income"
"222","Malta",1993,371308,320,130,1.09375,1160.338,7.189653872,"Middle East & North Africa","High income"
"223","Myanmar",1993,42209778,653540,104460,58.01175,64.58637,0.126577756,"East Asia & Pacific","Lower middle income"
"224","Mauritania",1993,2199791,1030700,396900,0.3741147,2.134269,0.466753432,"Sub-Saharan Africa","Lower middle income"
"225","Mauritius",1993,1097374,2030,1070,20.36453,540.5783,1.617341034,"Sub-Saharan Africa","Upper middle income"
"226","Netherlands",1993,15290368,33760,19880,10.35249,452.9137,10.778178393,"Europe & Central Asia","High income"
"227","Nepal",1993,20321175,143000,41694,31.76154,142.1061,0.072180866,"South Asia","Low income"
"228","New Zealand",1993,3572200,263310,159190,37.22722,13.56652,7.471145513,"East Asia & Pacific","High income"
"229","Pakistan",1993,116749560,770880,357500,3.118125,151.4497,0.668166038,"South Asia","Lower middle income"
"230","Panama",1993,2629644,74340,21500,67.09847,35.3732,1.499071737,"Latin America & Caribbean","Upper middle income"
"231","Portugal",1993,9964675,91500,39590,37.24699,108.9036,4.709295486,"Europe & Central Asia","High income"
"232","Romania",1993,22763280,229460,147930,27.75865,99.2037,5.302368771,"Europe & Central Asia","Upper middle income"
"233","Saudi Arabia",1993,17859750,2149690,1737850,0.4544841,8.308058,17.571253405,"Middle East & North Africa","High income"
"234","Sudan",1993,22535937,2376000,1267330,12.71215,11.9165,0.106719319,"Sub-Saharan Africa","Lower middle income"
"235","Singapore",1993,3313471,670,12,24.40299,4945.479,16.486427375,"East Asia & Pacific","High income"
"236","Sierra Leone",1993,4307299,72180,28110,42.38293,59.67441,0.103864162,"Sub-Saharan Africa","Low income"
"237","Sweden",1993,8718561,410340,33560,68.46274,21.24716,5.936305085,"Europe & Central Asia","High income"
"238","Thailand",1993,58364891,510890,212450,29.1781,114.2416,2.140830829,"East Asia & Pacific","Upper middle income"
"239","Tanzania",1993,28149328,885800,326000,61.77467,31.77842,0.092230834,"Sub-Saharan Africa","Low income"
"240","Uganda",1993,19275422,199810,120820,22.45333,96.46876,0.040521603,"Sub-Saharan Africa","Low income"
"241","United States",1993,259919000,9158960,4229480,33.05788,28.37866,19.363462583,"North America","High income"
"242","Samoa",1993,167207,2830,520,50.28269,59.08375,0.767581501,"East Asia & Pacific","Upper middle income"
"243","Yemen, Rep.",1993,14017239,527970,237250,1.039832,26.54931,0.660294656,"Middle East & North Africa","Lower middle income"
"244","South Africa",1993,39619539,1213090,969360,7.617737,32.66002,8.104701117,"Sub-Saharan Africa","Upper middle income"
"245","Afghanistan",1994,16172719,652860,378130,2.067825,24.77211,0.08003917,"South Asia","Low income"
"246","Argentina",1994,34558115,2736690,1279480,12.28484,12.62771,3.569365574,"Latin America & Caribbean","Upper middle income"
"247","Australia",1994,17855000,7682300,4691000,16.74772,2.324174,15.576586278,"East Asia & Pacific","High income"
"248","Austria",1994,7936118,82580,29941,46.02567,96.10218,7.189264701,"Europe & Central Asia","High income"
"249","Bulgaria",1994,8443591,110630,61590,30.24677,76.3228,6.436235483,"Europe & Central Asia","Upper middle income"
"250","Brunei Darussalam",1994,289525,5270,110,77.1537,54.93833,16.211933339,"East Asia & Pacific","High income"
"251","Central African Republic",1994,3267670,622980,50200,36.11288,5.245225,0.071821206,"Sub-Saharan Africa","Low income"
"252","Canada",1994,29111906,9093510,679340,38.27835,3.201394,15.696528802,"North America","High income"
