"","Country.Name","Year","Total.Land"
"68","Estonia","1961","    42390.0"
"69","Ethiopia","1961","  1101000.0"
"70","European Union","1961","  4210992.0"
"71","Fragile and conflict affected situations","1961"," 14723248.0"
"72","Finland","1961","   304590.0"
"73","Fiji","1961","    18270.0"
"74","France","1961","   547566.0"
"75","Faroe Islands","1961","     1396.0"
"76","Gabon","1961","   257670.0"
"77","United Kingdom","1961","   241930.0"
"78","Georgia","1961","    69490.0"
"79","Ghana","1961","   227540.0"
"80","Gibraltar","1961","       10.0"
"81","Guinea","1961","   245720.0"
"82","Gambia, The","1961","    10120.0"
"83","Guinea-Bissau","1961","    28120.0"
"84","Equatorial Guinea","1961","    28050.0"
"85","Greece","1961","   128900.0"
"86","Grenada","1961","      340.0"
"87","Greenland","1961","   341700.0"
"88","Guatemala","1961","   107160.0"
"89","Guam","1961","      540.0"
"90","Guyana","1961","   196710.0"
"91","High income","1961"," 34931047.4"
"92","Hong Kong SAR, China","1961","     1020.0"
"93","Honduras","1961","   111890.0"
"94","Heavily indebted poor countries (HIPC)","1961"," 19754481.0"
"95","Croatia","1961","    55910.0"
"96","Haiti","1961","    27560.0"
"97","Hungary","1961","    90040.0"
"98","IBRD only","1961"," 69459539.0"
"99","IDA & IBRD total","1961"," 95787600.0"
"100","IDA total","1961"," 26328061.0"
"101","IDA blend","1961","  5937530.0"
"102","Indonesia","1961","  1811570.0"
"103","IDA only","1961"," 20390531.0"
"104","Isle of Man","1961","      570.0"
"105","India","1961","  2973190.0"
"106","Ireland","1961","    68890.0"
"107","Iran, Islamic Rep.","1961","  1628760.0"
"108","Iraq","1961","   437370.0"
"109","Iceland","1961","   100250.0"
"110","Israel","1961","    21640.0"
"111","Italy","1961","   294110.0"
"112","Jamaica","1961","    10830.0"
"113","Jordan","1961","    88240.0"
"114","Japan","1961","   366700.0"
"115","Kazakhstan","1961","  2699700.0"
"116","Kenya","1961","   569140.0"
"117","Kyrgyz Republic","1961","   191800.0"
"118","Cambodia","1961","   176520.0"
"119","Kiribati","1961","      810.0"
"120","St. Kitts and Nevis","1961","      350.0"
"121","Korea, Rep.","1961","    96460.0"
"122","Kuwait","1961","    17820.0"
"123","Latin America & Caribbean (excluding high income)","1961"," 19125120.0"
"124","Lao PDR","1961","   230800.0"
"125","Lebanon","1961","    10230.0"
"126","Liberia","1961","    96320.0"
"127","Libya","1961","  1759540.0"
"128","St. Lucia","1961","      610.0"
"129","Latin America & Caribbean","1961"," 20071304.4"
"130","Least developed countries: UN classification","1961"," 20147344.0"
"131","Low income","1961"," 13381701.0"
"132","Liechtenstein","1961","      160.0"
"133","Sri Lanka","1961","    62710.0"
"134","Lower middle income","1961"," 23179240.0"
"135","Low & middle income","1961"," 94734478.0"
"136","Lesotho","1961","    30360.0"
"137","Late-demographic dividend","1961"," 44560095.0"
"138","Lithuania","1961","    62680.0"
"139","Latvia","1961","    62196.0"
"140","Macao SAR, China","1961","       20.0"
"141","St. Martin (French part)","1961","       54.4"
"142","Morocco","1961","   446340.0"
"143","Monaco","1961","        2.0"
"144","Moldova","1961","    32870.0"
"145","Madagascar","1961","   581540.0"
"146","Maldives","1961","      300.0"
"147","Middle East & North Africa","1961"," 11238850.0"
"148","Mexico","1961","  1943950.0"
"149","Middle income","1961"," 81408707.0"
"150","Macedonia, FYR","1961","    25430.0"
"151","Mali","1961","  1220190.0"
"152","Malta","1961","      320.0"
"153","Myanmar","1961","   653540.0"
"154","Middle East & North Africa (excluding high income)","1961","  8643980.0"
"155","Montenegro","1961","    13450.0"
"156","Mongolia","1961","  1553560.0"
"157","Mozambique","1961","   786380.0"
"158","Mauritania","1961","  1030700.0"
"159","Mauritius","1961","     2030.0"
"160","Malawi","1961","    94280.0"
"161","Malaysia","1961","   328550.0"
"162","North America","1961"," 18252520.0"
"163","Namibia","1961","   823290.0"
"164","New Caledonia","1961","    18280.0"
"165","Niger","1961","  1266700.0"
"166","Nigeria","1961","   910770.0"
"167","Nicaragua","1961","   120340.0"
"168","Netherlands","1961","    33760.0"
"169","Norway","1961","   365245.0"
"170","Nepal","1961","   143000.0"
"171","Nauru","1961","       20.0"
"172","New Zealand","1961","   263310.0"
"173","OECD members","1961"," 34386887.0"
"174","Oman","1961","   309500.0"
"175","Other small states","1961","  2039234.0"
"176","Pakistan","1961","   770880.0"
"177","Panama","1961","    74340.0"
"178","Peru","1961","  1280000.0"
"179","Philippines","1961","   298260.0"
"180","Papua New Guinea","1961","   452860.0"
"181","Poland","1961","   306290.0"
"182","Pre-demographic dividend","1961"," 20067411.0"
"183","Puerto Rico","1961","     8870.0"
"184","Korea, Dem. People’s Rep.","1961","   120410.0"
"185","Portugal","1961","    91500.0"
"186","Paraguay","1961","   397300.0"
"187","West Bank and Gaza","1961","     6020.0"
"188","Pacific island small states","1961","    62860.0"
"189","Post-demographic dividend","1961"," 31452729.0"
"190","French Polynesia","1961","     3660.0"
"191","Qatar","1961","    11610.0"
"192","Romania","1961","   230340.0"
"193","Russian Federation","1961"," 16389950.0"
"194","Rwanda","1961","    24670.0"
"195","South Asia","1961","  4779833.0"
"196","Saudi Arabia","1961","  2149690.0"
"197","Sudan","1961","  2376000.0"
"198","Senegal","1961","   192530.0"
"199","Singapore","1961","      670.0"
"200","Solomon Islands","1961","    27990.0"
"201","Sierra Leone","1961","    72180.0"
"202","El Salvador","1961","    20850.0"
"203","San Marino","1961","       60.0"
"204","Somalia","1961","   627340.0"
"205","Serbia","1961","    87460.0"
"206","Sub-Saharan Africa (excluding high income)","1961"," 23617731.0"
"207","Sub-Saharan Africa","1961"," 23618191.0"
"208","Small states","1961","  2506894.0"
"209","Sao Tome and Principe","1961","      960.0"
"210","Suriname","1961","   156000.0"
"211","Slovak Republic","1961","    48100.0"
"212","Slovenia","1961","    20140.0"
"213","Sweden","1961","   410340.0"
"214","Swaziland","1961","    17200.0"
"215","Sint Maarten (Dutch part)","1961","       34.0"
"216","Seychelles","1961","      460.0"
"217","Syrian Arab Republic","1961","   183780.0"
"218","Turks and Caicos Islands","1961","      950.0"
"219","Chad","1961","  1260000.0"
"220","East Asia & Pacific (IDA & IBRD countries)","1961"," 15808020.0"
"221","Europe & Central Asia (IDA & IBRD countries)","1961"," 23001404.0"
"222","Togo","1961","    54390.0"
"223","Thailand","1961","   510890.0"
"224","Tajikistan","1961","   139960.0"
"225","Turkmenistan","1961","   469930.0"
"226","Latin America & the Caribbean (IDA & IBRD countries)","1961"," 19942192.0"
"227","Timor-Leste","1961","    14870.0"
"228","Middle East & North Africa (IDA & IBRD countries)","1961","  8637960.0"
"229","Tonga","1961","      720.0"
"230","South Asia (IDA & IBRD)","1961","  4779833.0"
"231","Sub-Saharan Africa (IDA & IBRD countries)","1961"," 23618191.0"
"232","Trinidad and Tobago","1961","     5130.0"
"233","Tunisia","1961","   155360.0"
"234","Turkey","1961","   769630.0"
"235","Tuvalu","1961","       30.0"
"236","Tanzania","1961","   885800.0"
"237","Uganda","1961","   199810.0"
"238","Ukraine","1961","   579350.0"
"239","Upper middle income","1961"," 58229467.0"
"240","Uruguay","1961","   175020.0"
"241","United States","1961","  9158960.0"
"242","Uzbekistan","1961","   425400.0"
"243","St. Vincent and the Grenadines","1961","      390.0"
"244","Venezuela, RB","1961","   882050.0"
"245","British Virgin Islands","1961","      150.0"
"246","Virgin Islands (U.S.)","1961","      350.0"
"247","Vietnam","1961","   325490.0"
"248","Vanuatu","1961","    12190.0"
"249","World","1961","129721455.4"
"250","Samoa","1961","     2830.0"
"251","Kosovo","1961","    10887.0"
"252","Yemen, Rep.","1961","   527970.0"
"253","South Africa","1961","  1213090.0"
"254","Zambia","1961","   743390.0"
"255","Zimbabwe","1961","   386850.0"
"256","Aruba","1962","      180.0"
"257","Afghanistan","1962","   652860.0"
"258","Angola","1962","  1246700.0"
"259","Albania","1962","    27400.0"
"260","Andorra","1962","      470.0"
"261","Arab World","1962"," 13624031.0"
"262","United Arab Emirates","1962","    83600.0"
"263","Argentina","1962","  2736690.0"
"264","Armenia","1962","    28470.0"
"265","American Samoa","1962","      200.0"
"266","Antigua and Barbuda","1962","      440.0"
"267","Australia","1962","  7682300.0"
"268","Austria","1962","    82580.0"
"269","Azerbaijan","1962","    83217.0"
"270","Burundi","1962","    25680.0"
"271","Benin","1962","   112760.0"
"272","Burkina Faso","1962","   273600.0"
"273","Bangladesh","1962","   130170.0"
"274","Bulgaria","1962","   110630.0"
"275","Bahrain","1962","      690.0"
"276","Bahamas, The","1962","    10010.0"
"277","Bosnia and Herzegovina","1962","    51000.0"
"278","Belarus","1962","   202840.0"
"279","Belize","1962","    22810.0"
"280","Bermuda","1962","       50.0"
"281","Bolivia","1962","  1083300.0"
"282","Brazil","1962","  8358140.0"
"283","Barbados","1962","      430.0"
"284","Brunei Darussalam","1962","     5270.0"
"285","Bhutan","1962","    46723.0"
"286","Botswana","1962","   566730.0"
"287","Central African Republic","1962","   622980.0"
"288","Canada","1962","  9093510.0"
"289","Central Europe and the Baltics","1962","  1105966.0"
"290","Switzerland","1962","    39528.0"
"291","Channel Islands","1962","      190.0"
"292","Chile","1962","   743532.0"
"293","China","1962","  9388250.0"
"294","Cote d'Ivoire","1962","   318000.0"
"295","Cameroon","1962","   472710.0"
"296","Congo, Dem. Rep.","1962","  2267050.0"
"297","Congo, Rep.","1962","   341500.0"
"298","Colombia","1962","  1109500.0"
"299","Comoros","1962","     1861.0"
"300","Cabo Verde","1962","     4030.0"
"301","Costa Rica","1962","    51060.0"
"302","Caribbean small states","1962","   404800.0"
"303","Cuba","1962","   107400.0"
"304","Curacao","1962","      444.0"
"305","Cayman Islands","1962","      240.0"
"306","Cyprus","1962","     9240.0"
"307","Czech Republic","1962","    77270.0"
"308","Germany","1962","   349130.0"
"309","Djibouti","1962","    23180.0"
"310","Dominica","1962","      750.0"
"311","Denmark","1962","    42370.0"
"312","Dominican Republic","1962","    48310.0"
"313","Algeria","1962","  2381740.0"
"314","East Asia & Pacific (excluding high income)","1962"," 15928630.0"
"315","Early-demographic dividend","1962"," 33246133.0"
"316","East Asia & Pacific","1962"," 24402270.0"
"317","Europe & Central Asia (excluding high income)","1962"," 22695114.0"
"318","Europe & Central Asia","1962"," 27358467.0"
"319","Ecuador","1962","   276840.0"
"320","Egypt, Arab Rep.","1962","   995450.0"
"321","Euro area","1962","  2645872.0"
"322","Spain","1962","   499780.0"
"323","Estonia","1962","    42390.0"
"324","Ethiopia","1962","  1101000.0"
"325","European Union","1962","  4210972.0"
"326","Fragile and conflict affected situations","1962"," 14723248.0"
"327","Finland","1962","   304590.0"
"328","Fiji","1962","    18270.0"
"329","France","1962","   547566.0"
"330","Faroe Islands","1962","     1396.0"
"331","Gabon","1962","   257670.0"
"332","United Kingdom","1962","   241930.0"
"333","Georgia","1962","    69490.0"
"334","Ghana","1962","   227540.0"
"335","Gibraltar","1962","       10.0"
"336","Guinea","1962","   245720.0"
"337","Gambia, The","1962","    10120.0"
"338","Guinea-Bissau","1962","    28120.0"
"339","Equatorial Guinea","1962","    28050.0"
"340","Greece","1962","   128900.0"
"341","Grenada","1962","      340.0"
"342","Greenland","1962","   341700.0"
"343","Guatemala","1962","   107160.0"
"344","Guam","1962","      540.0"
"345","Guyana","1962","   196710.0"
"346","High income","1962"," 34931027.4"
"347","Hong Kong SAR, China","1962","     1020.0"
"348","Honduras","1962","   111890.0"
"349","Heavily indebted poor countries (HIPC)","1962"," 19754481.0"
"350","Croatia","1962","    55910.0"
"351","Haiti","1962","    27560.0"
"352","Hungary","1962","    90020.0"
"353","IBRD only","1962"," 69459539.0"
"354","IDA & IBRD total","1962"," 95787600.0"
"355","IDA total","1962"," 26328061.0"
"356","IDA blend","1962","  5937530.0"
"357","Indonesia","1962","  1811570.0"
"358","IDA only","1962"," 20390531.0"
"359","Isle of Man","1962","      570.0"
"360","India","1962","  2973190.0"
"361","Ireland","1962","    68890.0"
"362","Iran, Islamic Rep.","1962","  1628760.0"
"363","Iraq","1962","   437370.0"
"364","Iceland","1962","   100250.0"
"365","Israel","1962","    21640.0"
"366","Italy","1962","   294110.0"
"367","Jamaica","1962","    10830.0"
"368","Jordan","1962","    88240.0"
"369","Japan","1962","   366700.0"
"370","Kazakhstan","1962","  2699700.0"
"371","Kenya","1962","   569140.0"
"372","Kyrgyz Republic","1962","   191800.0"
"373","Cambodia","1962","   176520.0"
"374","Kiribati","1962","      810.0"
"375","St. Kitts and Nevis","1962","      350.0"
"376","Korea, Rep.","1962","    96460.0"
"377","Kuwait","1962","    17820.0"
"378","Latin America & Caribbean (excluding high income)","1962"," 19125120.0"
"379","Lao PDR","1962","   230800.0"
"380","Lebanon","1962","    10230.0"
"381","Liberia","1962","    96320.0"
"382","Libya","1962","  1759540.0"
"383","St. Lucia","1962","      610.0"
"384","Latin America & Caribbean","1962"," 20071304.4"
"385","Least developed countries: UN classification","1962"," 20147344.0"
"386","Low income","1962"," 13381701.0"
"387","Liechtenstein","1962","      160.0"
"388","Sri Lanka","1962","    62710.0"
"389","Lower middle income","1962"," 23179240.0"
"390","Low & middle income","1962"," 94734478.0"
"391","Lesotho","1962","    30360.0"
"392","Late-demographic dividend","1962"," 44560095.0"
"393","Lithuania","1962","    62680.0"
"394","Latvia","1962","    62196.0"
"395","Macao SAR, China","1962","       20.0"
"396","St. Martin (French part)","1962","       54.4"
"397","Morocco","1962","   446340.0"
"398","Monaco","1962","        2.0"
"399","Moldova","1962","    32870.0"
"400","Madagascar","1962","   581540.0"
"401","Maldives","1962","      300.0"
"402","Middle East & North Africa","1962"," 11238850.0"
"403","Mexico","1962","  1943950.0"
"404","Middle income","1962"," 81408707.0"
"405","Macedonia, FYR","1962","    25430.0"
"406","Mali","1962","  1220190.0"
"407","Malta","1962","      320.0"
"408","Myanmar","1962","   653540.0"
"409","Middle East & North Africa (excluding high income)","1962","  8643980.0"
"410","Montenegro","1962","    13450.0"
"411","Mongolia","1962","  1553560.0"
"412","Mozambique","1962","   786380.0"
"413","Mauritania","1962","  1030700.0"
"414","Mauritius","1962","     2030.0"
"415","Malawi","1962","    94280.0"
"416","Malaysia","1962","   328550.0"
"417","North America","1962"," 18252520.0"
"418","Namibia","1962","   823290.0"
"419","New Caledonia","1962","    18280.0"
"420","Niger","1962","  1266700.0"
"421","Nigeria","1962","   910770.0"
"422","Nicaragua","1962","   120340.0"
"423","Netherlands","1962","    33760.0"
"424","Norway","1962","   365245.0"
"425","Nepal","1962","   143000.0"
"426","Nauru","1962","       20.0"
"427","New Zealand","1962","   263310.0"
"428","OECD members","1962"," 34386867.0"
"429","Oman","1962","   309500.0"
"430","Other small states","1962","  2039234.0"
"431","Pakistan","1962","   770880.0"
"432","Panama","1962","    74340.0"
"433","Peru","1962","  1280000.0"
"434","Philippines","1962","   298260.0"
"435","Papua New Guinea","1962","   452860.0"
"436","Poland","1962","   306290.0"
"437","Pre-demographic dividend","1962"," 20067411.0"
"438","Puerto Rico","1962","     8870.0"
"439","Korea, Dem. People’s Rep.","1962","   120410.0"
"440","Portugal","1962","    91500.0"
"441","Paraguay","1962","   397300.0"
"442","West Bank and Gaza","1962","     6020.0"
"443","Pacific island small states","1962","    62860.0"
"444","Post-demographic dividend","1962"," 31452709.0"
"445","French Polynesia","1962","     3660.0"
"446","Qatar","1962","    11610.0"
"447","Romania","1962","   230340.0"
"448","Russian Federation","1962"," 16389950.0"
"449","Rwanda","1962","    24670.0"
"450","South Asia","1962","  4779833.0"
"451","Saudi Arabia","1962","  2149690.0"
"452","Sudan","1962","  2376000.0"
"453","Senegal","1962","   192530.0"
"454","Singapore","1962","      670.0"
"455","Solomon Islands","1962","    27990.0"
"456","Sierra Leone","1962","    72180.0"
"457","El Salvador","1962","    20850.0"
"458","San Marino","1962","       60.0"
"459","Somalia","1962","   627340.0"
"460","Serbia","1962","    87460.0"
"461","Sub-Saharan Africa (excluding high income)","1962"," 23617731.0"
"462","Sub-Saharan Africa","1962"," 23618191.0"
"463","Small states","1962","  2506894.0"
"464","Sao Tome and Principe","1962","      960.0"
"465","Suriname","1962","   156000.0"
"466","Slovak Republic","1962","    48100.0"
"467","Slovenia","1962","    20140.0"
"468","Sweden","1962","   410340.0"
"469","Swaziland","1962","    17200.0"
"470","Sint Maarten (Dutch part)","1962","       34.0"
"471","Seychelles","1962","      460.0"
"472","Syrian Arab Republic","1962","   183780.0"
"473","Turks and Caicos Islands","1962","      950.0"
"474","Chad","1962","  1260000.0"
"475","East Asia & Pacific (IDA & IBRD countries)","1962"," 15808020.0"
"476","Europe & Central Asia (IDA & IBRD countries)","1962"," 23001404.0"
"477","Togo","1962","    54390.0"
"478","Thailand","1962","   510890.0"
"479","Tajikistan","1962","   139960.0"
"480","Turkmenistan","1962","   469930.0"
"481","Latin America & the Caribbean (IDA & IBRD countries)","1962"," 19942192.0"
"482","Timor-Leste","1962","    14870.0"
"483","Middle East & North Africa (IDA & IBRD countries)","1962","  8637960.0"
"484","Tonga","1962","      720.0"
"485","South Asia (IDA & IBRD)","1962","  4779833.0"
"486","Sub-Saharan Africa (IDA & IBRD countries)","1962"," 23618191.0"
"487","Trinidad and Tobago","1962","     5130.0"
"488","Tunisia","1962","   155360.0"
"489","Turkey","1962","   769630.0"
"490","Tuvalu","1962","       30.0"
"491","Tanzania","1962","   885800.0"
"492","Uganda","1962","   199810.0"
"493","Ukraine","1962","   579350.0"
"494","Upper middle income","1962"," 58229467.0"
"495","Uruguay","1962","   175020.0"
"496","United States","1962","  9158960.0"
"497","Uzbekistan","1962","   425400.0"
"498","St. Vincent and the Grenadines","1962","      390.0"
"499","Venezuela, RB","1962","   882050.0"
"500","British Virgin Islands","1962","      150.0"
"501","Virgin Islands (U.S.)","1962","      350.0"
"502","Vietnam","1962","   325490.0"
"503","Vanuatu","1962","    12190.0"
"504","World","1962","129721435.4"
"505","Samoa","1962","     2830.0"
"506","Kosovo","1962","    10887.0"
"507","Yemen, Rep.","1962","   527970.0"
"508","South Africa","1962","  1213090.0"
"509","Zambia","1962","   743390.0"
"510","Zimbabwe","1962","   386850.0"
"511","Aruba","1963","      180.0"
"512","Afghanistan","1963","   652860.0"
"513","Angola","1963","  1246700.0"
"514","Albania","1963","    27400.0"
"515","Andorra","1963","      470.0"
"516","Arab World","1963"," 13624031.0"
"517","United Arab Emirates","1963","    83600.0"
"518","Argentina","1963","  2736690.0"
"519","Armenia","1963","    28470.0"
"520","American Samoa","1963","      200.0"
"521","Antigua and Barbuda","1963","      440.0"
"522","Australia","1963","  7682300.0"
"523","Austria","1963","    82580.0"
"524","Azerbaijan","1963","    83217.0"
"525","Burundi","1963","    25680.0"
"526","Benin","1963","   112760.0"
"527","Burkina Faso","1963","   273600.0"
"528","Bangladesh","1963","   130170.0"
"529","Bulgaria","1963","   110630.0"
"530","Bahrain","1963","      690.0"
"531","Bahamas, The","1963","    10010.0"
"532","Bosnia and Herzegovina","1963","    51000.0"
"533","Belarus","1963","   202840.0"
"534","Belize","1963","    22810.0"
"535","Bermuda","1963","       50.0"
"536","Bolivia","1963","  1083300.0"
"537","Brazil","1963","  8358140.0"
"538","Barbados","1963","      430.0"
"539","Brunei Darussalam","1963","     5270.0"
"540","Bhutan","1963","    46723.0"
"541","Botswana","1963","   566730.0"
"542","Central African Republic","1963","   622980.0"
"543","Canada","1963","  9093510.0"
"544","Central Europe and the Baltics","1963","  1105976.0"
"545","Switzerland","1963","    39528.0"
"546","Channel Islands","1963","      190.0"
"547","Chile","1963","   743532.0"
"548","China","1963","  9388250.0"
"549","Cote d'Ivoire","1963","   318000.0"
"550","Cameroon","1963","   472710.0"
"551","Congo, Dem. Rep.","1963","  2267050.0"
"552","Congo, Rep.","1963","   341500.0"
"553","Colombia","1963","  1109500.0"
"554","Comoros","1963","     1861.0"
"555","Cabo Verde","1963","     4030.0"
"556","Costa Rica","1963","    51060.0"
"557","Caribbean small states","1963","   404800.0"
"558","Cuba","1963","   107400.0"
"559","Curacao","1963","      444.0"
"560","Cayman Islands","1963","      240.0"
"561","Cyprus","1963","     9240.0"
"562","Czech Republic","1963","    77270.0"
"563","Germany","1963","   349130.0"
"564","Djibouti","1963","    23180.0"
"565","Dominica","1963","      750.0"
"566","Denmark","1963","    42370.0"
"567","Dominican Republic","1963","    48310.0"
"568","Algeria","1963","  2381740.0"
"569","East Asia & Pacific (excluding high income)","1963"," 15928630.0"
"570","Early-demographic dividend","1963"," 33246133.0"
"571","East Asia & Pacific","1963"," 24402270.0"
"572","Europe & Central Asia (excluding high income)","1963"," 22695114.0"
"573","Europe & Central Asia","1963"," 27358477.0"
"574","Ecuador","1963","   276840.0"
"575","Egypt, Arab Rep.","1963","   995450.0"
"576","Euro area","1963","  2645872.0"
"577","Spain","1963","   499780.0"
"578","Estonia","1963","    42390.0"
"579","Ethiopia","1963","  1101000.0"
"580","European Union","1963","  4210982.0"
"581","Fragile and conflict affected situations","1963"," 14723248.0"
"582","Finland","1963","   304590.0"
"583","Fiji","1963","    18270.0"
"584","France","1963","   547566.0"
"585","Faroe Islands","1963","     1396.0"
"586","Gabon","1963","   257670.0"
"587","United Kingdom","1963","   241930.0"
"588","Georgia","1963","    69490.0"
"589","Ghana","1963","   227540.0"
"590","Gibraltar","1963","       10.0"
"591","Guinea","1963","   245720.0"
"592","Gambia, The","1963","    10120.0"
"593","Guinea-Bissau","1963","    28120.0"
"594","Equatorial Guinea","1963","    28050.0"
"595","Greece","1963","   128900.0"
"596","Grenada","1963","      340.0"
"597","Greenland","1963","   341700.0"
"598","Guatemala","1963","   107160.0"
"599","Guam","1963","      540.0"
"600","Guyana","1963","   196710.0"
"601","High income","1963"," 34931037.4"
"602","Hong Kong SAR, China","1963","     1020.0"
"603","Honduras","1963","   111890.0"
"604","Heavily indebted poor countries (HIPC)","1963"," 19754481.0"
"605","Croatia","1963","    55910.0"
"606","Haiti","1963","    27560.0"
"607","Hungary","1963","    90030.0"
"608","IBRD only","1963"," 69459539.0"
"609","IDA & IBRD total","1963"," 95787600.0"
"610","IDA total","1963"," 26328061.0"
"611","IDA blend","1963","  5937530.0"
"612","Indonesia","1963","  1811570.0"
"613","IDA only","1963"," 20390531.0"
"614","Isle of Man","1963","      570.0"
"615","India","1963","  2973190.0"
"616","Ireland","1963","    68890.0"
"617","Iran, Islamic Rep.","1963","  1628760.0"
"618","Iraq","1963","   437370.0"
"619","Iceland","1963","   100250.0"
"620","Israel","1963","    21640.0"
"621","Italy","1963","   294110.0"
"622","Jamaica","1963","    10830.0"
"623","Jordan","1963","    88240.0"
"624","Japan","1963","   366700.0"
"625","Kazakhstan","1963","  2699700.0"
"626","Kenya","1963","   569140.0"
"627","Kyrgyz Republic","1963","   191800.0"
"628","Cambodia","1963","   176520.0"
"629","Kiribati","1963","      810.0"
"630","St. Kitts and Nevis","1963","      350.0"
"631","Korea, Rep.","1963","    96460.0"
"632","Kuwait","1963","    17820.0"
"633","Latin America & Caribbean (excluding high income)","1963"," 19125120.0"
"634","Lao PDR","1963","   230800.0"
"635","Lebanon","1963","    10230.0"
"636","Liberia","1963","    96320.0"
"637","Libya","1963","  1759540.0"
"638","St. Lucia","1963","      610.0"
"639","Latin America & Caribbean","1963"," 20071304.4"
"640","Least developed countries: UN classification","1963"," 20147344.0"
"641","Low income","1963"," 13381701.0"
"642","Liechtenstein","1963","      160.0"
"643","Sri Lanka","1963","    62710.0"
"644","Lower middle income","1963"," 23179240.0"
"645","Low & middle income","1963"," 94734478.0"
"646","Lesotho","1963","    30360.0"
"647","Late-demographic dividend","1963"," 44560095.0"
"648","Lithuania","1963","    62680.0"
"649","Latvia","1963","    62196.0"
"650","Macao SAR, China","1963","       20.0"
"651","St. Martin (French part)","1963","       54.4"
"652","Morocco","1963","   446340.0"
"653","Monaco","1963","        2.0"
"654","Moldova","1963","    32870.0"
"655","Madagascar","1963","   581540.0"
"656","Maldives","1963","      300.0"
"657","Middle East & North Africa","1963"," 11238850.0"
"658","Mexico","1963","  1943950.0"
"659","Middle income","1963"," 81408707.0"
"660","Macedonia, FYR","1963","    25430.0"
"661","Mali","1963","  1220190.0"
"662","Malta","1963","      320.0"
"663","Myanmar","1963","   653540.0"
"664","Middle East & North Africa (excluding high income)","1963","  8643980.0"
"665","Montenegro","1963","    13450.0"
"666","Mongolia","1963","  1553560.0"
"667","Mozambique","1963","   786380.0"
"668","Mauritania","1963","  1030700.0"
"669","Mauritius","1963","     2030.0"
"670","Malawi","1963","    94280.0"
"671","Malaysia","1963","   328550.0"
"672","North America","1963"," 18252520.0"
"673","Namibia","1963","   823290.0"
"674","New Caledonia","1963","    18280.0"
"675","Niger","1963","  1266700.0"
"676","Nigeria","1963","   910770.0"
"677","Nicaragua","1963","   120340.0"
"678","Netherlands","1963","    33760.0"
"679","Norway","1963","   365245.0"
"680","Nepal","1963","   143000.0"
"681","Nauru","1963","       20.0"
"682","New Zealand","1963","   263310.0"
"683","OECD members","1963"," 34386877.0"
"684","Oman","1963","   309500.0"
"685","Other small states","1963","  2039234.0"
"686","Pakistan","1963","   770880.0"
"687","Panama","1963","    74340.0"
"688","Peru","1963","  1280000.0"
