"","Country.Name","Year","Population","Population.Density","CO2Emission","Total.Land","Agriculture.Land","Forest.Area","Region","IncomeGroup"
"31","Bhutan",1960,223288,NA,NA,NA,NA,NA,NA,NA
"32","Botswana",1960,524552,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Upper middle income"
"33","Central African Republic",1960,1503508,NA,0.058535106,NA,NA,NA,"Sub-Saharan Africa","Low income"
"34","Canada",1960,17909009,NA,10.770847287,NA,NA,NA,"North America","High income"
"35","Central Europe and the Baltics",1960,91401583,NA,5.118437186,NA,NA,NA,NA,NA
"36","Switzerland",1960,5327827,NA,3.664365979,NA,NA,NA,NA,NA
"37","Channel Islands",1960,109420,NA,NA,NA,NA,NA,NA,NA
"38","Chile",1960,7716625,NA,1.74828931,NA,NA,NA,NA,NA
"39","China",1960,667070000,NA,1.170381372,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"40","Cote d'Ivoire",1960,3558988,NA,0.129823984,NA,NA,NA,NA,NA
"41","Cameroon",1960,5176268,NA,0.052423483,NA,NA,NA,NA,NA
"42","Congo, Dem. Rep.",1960,15248251,NA,0.152228016,NA,NA,NA,"Sub-Saharan Africa","Low income"
"43","Congo, Rep.",1960,1037220,NA,0.21566013,NA,NA,NA,NA,NA
"44","Colombia",1960,16480383,NA,0.995718667,NA,NA,NA,NA,NA
"45","Comoros",1960,191121,NA,0.057560394,NA,NA,NA,NA,NA
"46","Cabo Verde",1960,202310,NA,0.108753893,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"47","Costa Rica",1960,1333040,NA,0.368614595,NA,NA,NA,"Latin America & Caribbean","Upper middle income"
"48","Caribbean small states",1960,4198307,NA,1.400136055,NA,NA,NA,NA,NA
"49","Cuba",1960,7141135,NA,1.918450218,NA,NA,NA,"Latin America & Caribbean","Upper middle income"
"50","Curacao",1960,124826,NA,NA,NA,NA,NA,NA,NA
"51","Cayman Islands",1960,7865,NA,1.398728544,NA,NA,NA,NA,NA
"52","Cyprus",1960,572930,NA,1.548904753,NA,NA,NA,"Europe & Central Asia","High income"
"53","Czech Republic",1960,9602006,NA,NA,NA,NA,NA,NA,NA
"54","Germany",1960,72814900,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"55","Djibouti",1960,83636,NA,0.482292314,NA,NA,NA,NA,NA
"56","Dominica",1960,60011,NA,0.183316392,NA,NA,NA,NA,NA
"57","Denmark",1960,4579603,NA,6.502683093,NA,NA,NA,NA,NA
"58","Dominican Republic",1960,3294042,NA,0.316155046,NA,NA,NA,NA,NA
"59","Algeria",1960,11124888,NA,0.553763777,NA,NA,NA,"Middle East & North Africa","Upper middle income"
"60","East Asia & Pacific (excluding high income)",1960,896038340,NA,0.951762012,NA,NA,NA,NA,NA
"61","Early-demographic dividend",1960,979226919,NA,0.594251202,NA,NA,NA,NA,NA
"62","East Asia & Pacific",1960,1042016962,NA,1.16126305,NA,NA,NA,NA,NA
"63","Europe & Central Asia (excluding high income)",1960,279087938,NA,NA,NA,NA,NA,NA,NA
"64","Europe & Central Asia",1960,667246384,NA,NA,NA,NA,NA,NA,NA
"65","Ecuador",1960,4545550,NA,0.388033791,NA,NA,NA,NA,NA
"66","Egypt, Arab Rep.",1960,26996533,NA,0.59467362,NA,NA,NA,"Middle East & North Africa","Lower middle income"
"67","Euro area",1960,265396502,NA,NA,NA,NA,NA,NA,NA
"68","Spain",1960,30455000,NA,1.606592711,NA,NA,NA,"Europe & Central Asia","High income"
"69","Estonia",1960,1211537,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"70","Ethiopia",1960,22151278,NA,0.015892176,NA,NA,NA,"Sub-Saharan Africa","Low income"
"71","European Union",1960,409498463,NA,5.763853675,NA,NA,NA,NA,NA
"72","Fragile and conflict affected situations",1960,118438495,NA,0.279254464,NA,NA,NA,NA,NA
"73","Finland",1960,4429634,NA,3.409846728,NA,NA,NA,"Europe & Central Asia","High income"
"74","Fiji",1960,393386,NA,0.49404656,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"75","France",1960,46814237,NA,5.793507945,NA,NA,NA,"Europe & Central Asia","High income"
"76","Faroe Islands",1960,34661,NA,1.692738236,NA,NA,NA,NA,NA
"77","Micronesia, Fed. Sts.",1960,44537,NA,NA,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"78","Gabon",1960,499184,NA,0.264455592,NA,NA,NA,NA,NA
"79","United Kingdom",1960,52400000,NA,11.15075916,NA,NA,NA,NA,NA
"80","Georgia",1960,3645600,NA,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"81","Ghana",1960,6652287,NA,0.219944359,NA,NA,NA,NA,NA
"82","Gibraltar",1960,23394,NA,2.037744721,NA,NA,NA,NA,NA
"83","Guinea",1960,3577409,NA,0.114804877,NA,NA,NA,NA,NA
"84","Gambia, The",1960,367928,NA,0.04983312,NA,NA,NA,"Sub-Saharan Africa","Low income"
"85","Guinea-Bissau",1960,616409,NA,0.029744861,NA,NA,NA,NA,NA
"86","Equatorial Guinea",1960,255323,NA,0.0861732,NA,NA,NA,NA,NA
"87","Greece",1960,8331725,NA,1.128920482,NA,NA,NA,"Europe & Central Asia","High income"
"88","Grenada",1960,89869,NA,0.24482302,NA,NA,NA,NA,NA
"89","Greenland",1960,32500,NA,6.882676923,NA,NA,NA,NA,NA
"90","Guatemala",1960,4210747,NA,0.319608136,NA,NA,NA,NA,NA
"91","Guam",1960,66742,NA,NA,NA,NA,NA,NA,NA
"92","Guyana",1960,571819,NA,1.154316313,NA,NA,NA,NA,NA
"93","High income",1960,754609427,NA,7.55891183,NA,NA,NA,NA,NA
"94","Hong Kong SAR, China",1960,3075605,NA,0.960982311,NA,NA,NA,"East Asia & Pacific","High income"
"95","Honduras",1960,2038637,NA,0.30219014,NA,NA,NA,NA,NA
"96","Heavily indebted poor countries (HIPC)",1960,162495580,NA,0.122373205,NA,NA,NA,NA,NA
"97","Croatia",1960,4140000,NA,NA,NA,NA,NA,NA,NA
"98","Haiti",1960,3866159,NA,0.073981955,NA,NA,NA,"Latin America & Caribbean","Low income"
"99","Hungary",1960,9983967,NA,4.544465241,NA,NA,NA,NA,NA
"100","IBRD only",1960,1919407887,NA,1.332022834,NA,NA,NA,NA,NA
"101","IDA & IBRD total",1960,2301897627,NA,1.149031787,NA,NA,NA,NA,NA
"102","IDA total",1960,382489740,NA,0.216654366,NA,NA,NA,NA,NA
"103","IDA blend",1960,123195063,NA,0.355069613,NA,NA,NA,NA,NA
"104","Indonesia",1960,87792515,NA,0.243805283,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"105","IDA only",1960,259294677,NA,0.136785892,NA,NA,NA,NA,NA
"106","Isle of Man",1960,48442,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"107","India",1960,449480608,NA,0.268269551,NA,NA,NA,"South Asia","Lower middle income"
"108","Ireland",1960,2828600,NA,3.952726791,NA,NA,NA,"Europe & Central Asia","High income"
"109","Iran, Islamic Rep.",1960,21906903,NA,1.706877462,NA,NA,NA,"Middle East & North Africa","Upper middle income"
"110","Iraq",1960,7289761,NA,1.133839367,NA,NA,NA,"Middle East & North Africa","Upper middle income"
"111","Iceland",1960,175574,NA,6.913193297,NA,NA,NA,NA,NA
"112","Israel",1960,2114020,NA,3.059851846,NA,NA,NA,NA,NA
"113","Italy",1960,50199700,NA,2.178444772,NA,NA,NA,"Europe & Central Asia","High income"
"114","Jamaica",1960,1628252,NA,0.903095467,NA,NA,NA,NA,NA
"115","Jordan",1960,932257,NA,0.798493334,NA,NA,NA,NA,NA
"116","Japan",1960,92500572,NA,2.516537519,NA,NA,NA,"East Asia & Pacific","High income"
"117","Kazakhstan",1960,9714260,NA,NA,NA,NA,NA,NA,NA
"118","Kenya",1960,8105440,NA,0.299496881,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"119","Kyrgyz Republic",1960,2172300,NA,NA,NA,NA,NA,NA,NA
"120","Cambodia",1960,5722370,NA,0.041012378,NA,NA,NA,NA,NA
"121","Kiribati",1960,41233,NA,NA,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"122","St. Kitts and Nevis",1960,51195,NA,0.214884266,NA,NA,NA,NA,NA
"123","Korea, Rep.",1960,25012374,NA,0.501837251,NA,NA,NA,"East Asia & Pacific","High income"
"124","Latin America & Caribbean (excluding high income)",1960,206288466,NA,1.28878348,NA,NA,NA,NA,NA
"125","Lao PDR",1960,2120896,NA,0.038037697,NA,NA,NA,NA,NA
"126","Lebanon",1960,1804926,NA,1.430290217,NA,NA,NA,"Middle East & North Africa","Upper middle income"
"127","Liberia",1960,1120313,NA,0.147293658,NA,NA,NA,"Sub-Saharan Africa","Low income"
"128","Libya",1960,1448417,NA,0.478496869,NA,NA,NA,"Middle East & North Africa","Upper middle income"
"129","St. Lucia",1960,89897,NA,0.16316451,NA,NA,NA,NA,NA
"130","Latin America & Caribbean",1960,220434162,NA,1.321241863,NA,NA,NA,NA,NA
"131","Least developed countries: UN classification",1960,240997519,NA,0.10189245,NA,NA,NA,NA,NA
"132","Low income",1960,154670163,NA,NA,NA,NA,NA,NA,NA
"133","Liechtenstein",1960,16495,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"134","Sri Lanka",1960,9896000,NA,0.228261116,NA,NA,NA,"South Asia","Lower middle income"
"135","Lower middle income",1960,955530364,NA,0.373791086,NA,NA,NA,NA,NA
"136","Low & middle income",1960,2275439437,NA,1.050954725,NA,NA,NA,NA,NA
"137","Lesotho",1960,851591,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"138","Late-demographic dividend",1960,1099314242,NA,1.797093326,NA,NA,NA,NA,NA
"139","Lithuania",1960,2778550,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"140","Luxembourg",1960,313970,NA,36.685183298,NA,NA,NA,"Europe & Central Asia","High income"
"141","Latvia",1960,2120979,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"142","Macao SAR, China",1960,167796,NA,0.30595485,NA,NA,NA,"East Asia & Pacific","High income"
"143","St. Martin (French part)",1960,4279,NA,NA,NA,NA,NA,NA,NA
"144","Morocco",1960,12328532,NA,0.295358036,NA,NA,NA,NA,NA
"145","Monaco",1960,22452,NA,NA,NA,NA,NA,NA,NA
"146","Moldova",1960,2544000,NA,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"147","Madagascar",1960,5099373,NA,0.078382774,NA,NA,NA,NA,NA
"148","Maldives",1960,89887,NA,NA,NA,NA,NA,NA,NA
"149","Middle East & North Africa",1960,105488678,NA,0.9693217,NA,NA,NA,NA,NA
"150","Mexico",1960,38174112,NA,1.653382376,NA,NA,NA,NA,NA
"151","Marshall Islands",1960,14662,NA,NA,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"152","Middle income",1960,2124913707,NA,1.111621,NA,NA,NA,NA,NA
"153","Macedonia, FYR",1960,1488667,NA,NA,NA,NA,NA,NA,NA
"154","Mali",1960,5263733,NA,0.022989578,NA,NA,NA,"Sub-Saharan Africa","Low income"
"155","Malta",1960,326550,NA,1.044345429,NA,NA,NA,"Middle East & North Africa","High income"
"156","Myanmar",1960,20986123,NA,0.129478275,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"157","Middle East & North Africa (excluding high income)",1960,97837766,NA,0.860653311,NA,NA,NA,NA,NA
"158","Montenegro",1960,480579,NA,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"159","Mongolia",1960,955505,NA,1.354729698,NA,NA,NA,NA,NA
"160","Northern Mariana Islands",1960,10035,NA,NA,NA,NA,NA,NA,NA
"161","Mozambique",1960,7388695,NA,0.255097551,NA,NA,NA,NA,NA
"162","Mauritania",1960,858168,NA,0.042730561,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"163","Mauritius",1960,659351,NA,0.272514943,NA,NA,NA,"Sub-Saharan Africa","Upper middle income"
"164","Malawi",1960,3618595,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Low income"
"165","Malaysia",1960,8157106,NA,NA,NA,NA,NA,NA,NA
"166","North America",1960,198624409,NA,15.525528798,NA,NA,NA,NA,NA
"167","Namibia",1960,602544,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Upper middle income"
"168","New Caledonia",1960,79000,NA,10.908164557,NA,NA,NA,NA,NA
"169","Niger",1960,3388764,NA,0.008656844,NA,NA,NA,NA,NA
"170","Nigeria",1960,45137812,NA,0.075472045,NA,NA,NA,NA,NA
"171","Nicaragua",1960,1774699,NA,0.299608553,NA,NA,NA,NA,NA
"172","Netherlands",1960,11486631,NA,6.39917962,NA,NA,NA,"Europe & Central Asia","High income"
"173","Norway",1960,3581239,NA,3.658563698,NA,NA,NA,NA,NA
"174","Nepal",1960,10063011,NA,0.008016885,NA,NA,NA,"South Asia","Low income"
"175","Nauru",1960,4433,NA,NA,NA,NA,NA,NA,NA
"176","New Zealand",1960,2371800,NA,4.867069736,NA,NA,NA,"East Asia & Pacific","High income"
"177","OECD members",1960,788709114,NA,7.273621049,NA,NA,NA,NA,NA
"178","Oman",1960,551740,NA,NA,NA,NA,NA,"Middle East & North Africa","High income"
"179","Other small states",1960,9196324,NA,0.62023118,NA,NA,NA,NA,NA
"180","Pakistan",1960,44908293,NA,0.315189446,NA,NA,NA,"South Asia","Lower middle income"
"181","Panama",1960,1132921,NA,0.88040031,NA,NA,NA,"Latin America & Caribbean","Upper middle income"
"182","Peru",1960,10061515,NA,0.812376963,NA,NA,NA,NA,NA
"183","Philippines",1960,26273025,NA,0.317249003,NA,NA,NA,NA,NA
"184","Palau",1960,9642,NA,1.521261149,NA,NA,NA,"East Asia & Pacific","High income"
"185","Papua New Guinea",1960,2010677,NA,0.089364428,NA,NA,NA,NA,NA
"186","Poland",1960,29637450,NA,6.740362582,NA,NA,NA,NA,NA
"187","Pre-demographic dividend",1960,188636191,NA,0.156492484,NA,NA,NA,NA,NA
"188","Puerto Rico",1960,2358000,NA,NA,NA,NA,NA,"Latin America & Caribbean","High income"
"189","Korea, Dem. People’s Rep.",1960,11424176,NA,NA,NA,NA,NA,NA,NA
"190","Portugal",1960,8857716,NA,0.928578089,NA,NA,NA,"Europe & Central Asia","High income"
"191","Paraguay",1960,1902875,NA,0.159947973,NA,NA,NA,NA,NA
"192","Pacific island small states",1960,865809,NA,0.37288337,NA,NA,NA,NA,NA
"193","Post-demographic dividend",1960,754705296,NA,7.730027625,NA,NA,NA,NA,NA
"194","French Polynesia",1960,78076,NA,0.469670577,NA,NA,NA,NA,NA
"195","Qatar",1960,47384,NA,3.714671619,NA,NA,NA,NA,NA
"196","Romania",1960,18406905,NA,2.903812021,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"197","Russian Federation",1960,119897000,NA,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"198","Rwanda",1960,2933428,NA,0.036252125,NA,NA,NA,NA,NA
"199","South Asia",1960,571857185,NA,0.243920502,NA,NA,NA,NA,NA
"200","Saudi Arabia",1960,4086539,NA,0.655055537,NA,NA,NA,"Middle East & North Africa","High income"
"201","Sudan",1960,7544491,NA,0.129783714,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"202","Senegal",1960,3206749,NA,0.258436816,NA,NA,NA,NA,NA
"203","Singapore",1960,1646400,NA,0.846367833,NA,NA,NA,"East Asia & Pacific","High income"
"204","Solomon Islands",1960,117866,NA,0.093334804,NA,NA,NA,NA,NA
"205","Sierra Leone",1960,2297110,NA,0.311288967,NA,NA,NA,"Sub-Saharan Africa","Low income"
"206","El Salvador",1960,2762899,NA,0.224301721,NA,NA,NA,NA,NA
"207","San Marino",1960,15397,NA,NA,NA,NA,NA,NA,NA
"208","Somalia",1960,2755947,NA,NA,NA,NA,NA,NA,NA
"209","Sub-Saharan Africa (excluding high income)",1960,228483817,NA,0.551622314,NA,NA,NA,NA,NA
"210","South Sudan",1960,2955152,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Low income"
"211","Sub-Saharan Africa",1960,228525517,NA,0.551543918,NA,NA,NA,NA,NA
"212","Small states",1960,14260440,NA,0.905955394,NA,NA,NA,NA,NA
"213","Sao Tome and Principe",1960,64253,NA,0.171213795,NA,NA,NA,NA,NA
"214","Suriname",1960,289966,NA,1.49226461,NA,NA,NA,NA,NA
"215","Slovak Republic",1960,4068095,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"216","Slovenia",1960,1584720,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"217","Sweden",1960,7484656,NA,6.576406584,NA,NA,NA,"Europe & Central Asia","High income"
"218","Swaziland",1960,349174,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"219","Seychelles",1960,41700,NA,NA,NA,NA,NA,NA,NA
"220","Syrian Arab Republic",1960,4573512,NA,0.704774143,NA,NA,NA,NA,NA
"221","Turks and Caicos Islands",1960,5726,NA,NA,NA,NA,NA,NA,NA
"222","Chad",1960,3001593,NA,0.018325269,NA,NA,NA,NA,NA
"223","East Asia & Pacific (IDA & IBRD countries)",1960,884594151,NA,0.949846704,NA,NA,NA,NA,NA
"224","Europe & Central Asia (IDA & IBRD countries)",1960,308725388,NA,NA,NA,NA,NA,NA,NA
"225","Togo",1960,1580513,NA,0.04176239,NA,NA,NA,NA,NA
"226","Thailand",1960,27397175,NA,0.135585914,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"227","Tajikistan",1960,2087038,NA,NA,NA,NA,NA,NA,NA
"228","Turkmenistan",1960,1603258,NA,NA,NA,NA,NA,NA,NA
"229","Latin America & the Caribbean (IDA & IBRD countries)",1960,210357620,NA,1.295893693,NA,NA,NA,NA,NA
"230","Timor-Leste",1960,499950,NA,NA,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"231","Middle East & North Africa (IDA & IBRD countries)",1960,97837766,NA,0.860175507,NA,NA,NA,NA,NA
"232","Tonga",1960,61601,NA,0.178584763,NA,NA,NA,NA,NA
"233","South Asia (IDA & IBRD)",1960,571857185,NA,0.243920502,NA,NA,NA,NA,NA
"234","Sub-Saharan Africa (IDA & IBRD countries)",1960,228525517,NA,0.551543918,NA,NA,NA,NA,NA
"235","Trinidad and Tobago",1960,848479,NA,3.042583258,NA,NA,NA,NA,NA
"236","Tunisia",1960,4176266,NA,0.413564893,NA,NA,NA,NA,NA
"237","Turkey",1960,27472331,NA,0.612271634,NA,NA,NA,NA,NA
"238","Tuvalu",1960,6104,NA,NA,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"239","Tanzania",1960,10074507,NA,0.082261296,NA,NA,NA,"Sub-Saharan Africa","Low income"
"240","Uganda",1960,6788214,NA,0.062123115,NA,NA,NA,"Sub-Saharan Africa","Low income"
"241","Ukraine",1960,42662149,NA,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"242","Upper middle income",1960,1169383343,NA,1.708475693,NA,NA,NA,NA,NA
"243","Uruguay",1960,2538651,NA,1.701583242,NA,NA,NA,NA,NA
"244","United States",1960,180671000,NA,15.999779157,NA,NA,NA,"North America","High income"
"245","Uzbekistan",1960,8549493,NA,NA,NA,NA,NA,NA,NA
"246","St. Vincent and the Grenadines",1960,80949,NA,0.135900382,NA,NA,NA,NA,NA
"247","Venezuela, RB",1960,8146847,NA,7.005105288,NA,NA,NA,NA,NA
"248","British Virgin Islands",1960,8033,NA,NA,NA,NA,NA,NA,NA
"249","Virgin Islands (U.S.)",1960,32000,NA,NA,NA,NA,NA,NA,NA
"250","Vietnam",1960,34743000,NA,0.215631379,NA,NA,NA,NA,NA
"251","Vanuatu",1960,63699,NA,NA,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"252","World",1960,3034193297,NA,3.093340445,NA,NA,NA,NA,NA
"253","Samoa",1960,108646,NA,0.135007271,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"254","Kosovo",1960,947000,NA,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"255","Yemen, Rep.",1960,5172135,NA,0.702610624,NA,NA,NA,"Middle East & North Africa","Lower middle income"
"256","South Africa",1960,17396367,NA,5.629598927,NA,NA,NA,"Sub-Saharan Africa","Upper middle income"
"257","Zambia",1960,3044846,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income"
"258","Zimbabwe",1960,3747369,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Low income"
"259","Aruba",1961,55438,307.9889,NA,180,20,NA,"Latin America & Caribbean","High income"
"260","Afghanistan",1961,9166764,14.04093,0.053604304,652860,377000,NA,"South Asia","Low income"
"261","Angola",1961,5753024,4.614602,0.079038085,1246700,571700,NA,NA,NA
"262","Albania",1961,1659800,60.57664,1.374186047,27400,12320,NA,NA,NA
"263","Andorra",1961,14375,30.58511,NA,470,260,NA,"Europe & Central Asia","High income"
"264","Arab World",1961,95044497,6.976239,0.685481003,13624031,4215860,NA,NA,NA
"265","United Arab Emirates",1961,101078,1.209067,0.10883674,83600,2080,NA,NA,NA
"266","Argentina",1961,20953077,7.656357,2.442615898,2736690,1378290,NA,"Latin America & Caribbean","Upper middle income"
"267","Armenia",1961,1941491,68.19427,NA,NA,NA,NA,NA,NA
"268","American Samoa",1961,20486,102.43,NA,200,30,NA,NA,NA
"269","Antigua and Barbuda",1961,56144,127.6,0.849084497,440,100,NA,NA,NA
"270","Australia",1961,10483000,1.364565,8.641569017,7682300,4615850,NA,"East Asia & Pacific","High income"
"271","Austria",1961,7086299,85.81132,4.496361641,82580,35554,NA,"Europe & Central Asia","High income"
"272","Azerbaijan",1961,4030320,48.43145,NA,NA,NA,NA,NA,NA
"273","Burundi",1961,2839666,110.5789,NA,25680,15750,NA,NA,NA
"274","Belgium",1961,9183948,NA,10.103871995,NA,NA,NA,"Europe & Central Asia","High income"
"275","Benin",1961,2465867,21.86828,0.05204863,112760,14420,NA,NA,NA
"276","Burkina Faso",1961,4894580,17.88955,0.018729901,273600,81390,NA,NA,NA
"277","Bangladesh",1961,49592802,380.9849,NA,130170,94800,NA,"South Asia","Lower middle income"
"278","Bulgaria",1961,7943118,71.79895,3.269920074,110630,56730,NA,"Europe & Central Asia","Upper middle income"
"279","Bahrain",1961,167894,243.3246,10.549281094,690,70,NA,NA,NA
"280","Bahamas, The",1961,115108,11.4993,4.746698752,10010,100,NA,NA,NA
"281","Bosnia and Herzegovina",1961,3288602,64.48239,NA,NA,NA,NA,NA,NA
"282","Belarus",1961,8271216,40.77705,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"283","Belize",1961,94703,4.151819,0.387210542,22810,790,NA,NA,NA
"284","Bermuda",1961,45500,910,3.868483516,50,4,NA,NA,NA
"285","Bolivia",1961,3764813,3.475319,0.276621442,1083300,300420,NA,NA,NA
"286","Brazil",1961,74351763,8.895731,0.661770535,8358140,1505310,NA,NA,NA
"287","Barbados",1961,231678,538.786,0.838884141,430,190,NA,NA,NA
"288","Brunei Darussalam",1961,85596,16.24213,3.555785317,5270,210,NA,"East Asia & Pacific","High income"
"289","Bhutan",1961,228918,4.899471,NA,46723,3610,NA,NA,NA
"290","Botswana",1961,537249,0.9479805,NA,566730,260000,NA,"Sub-Saharan Africa","Upper middle income"
"291","Central African Republic",1961,1529227,2.454697,0.057550645,622980,47380,NA,"Sub-Saharan Africa","Low income"
"292","Canada",1961,18271000,2.009235,10.627897652,9093510,698250,NA,"North America","High income"
"293","Central Europe and the Baltics",1961,92237118,83.39809,5.345133149,1105986,476790,NA,NA,NA
"294","Switzerland",1961,5434294,137.4796,3.751824984,39528,17363,NA,NA,NA
"295","Channel Islands",1961,110399,581.0474,NA,190,90,NA,NA,NA
"296","Chile",1961,7890156,10.61172,1.834393262,743532,133860,NA,NA,NA
"297","China",1961,660330000,70.33579,0.836046901,9388250,3423500,NA,"East Asia & Pacific","Upper middle income"
"298","Cote d'Ivoire",1961,3694205,11.617,0.149888,318000,156800,NA,NA,NA
"299","Cameroon",1961,5285231,11.1807,0.053424155,472710,75100,NA,NA,NA
"300","Congo, Dem. Rep.",1961,15637733,6.897833,0.15078151,2267050,250500,NA,"Sub-Saharan Africa","Low income"
"301","Congo, Rep.",1961,1064111,3.115991,0.251563042,341500,105400,NA,NA,NA
"302","Colombia",1961,16982315,15.30628,1.072742792,1109500,399700,NA,NA,NA
"303","Comoros",1961,194139,104.3197,0.056665585,1861,950,NA,NA,NA
"304","Cabo Verde",1961,205956,51.10571,0.106828643,4030,650,NA,"Sub-Saharan Africa","Lower middle income"
"305","Costa Rica",1961,1381917,27.06457,0.355577072,51060,13950,NA,"Latin America & Caribbean","Upper middle income"
"306","Caribbean small states",1961,4277802,10.56769,2.058175437,404800,22340,NA,NA,NA
"307","Cuba",1961,7289826,67.87547,1.671065126,107400,35500,NA,"Latin America & Caribbean","Upper middle income"
"308","Curacao",1961,126125,284.0653,NA,NA,NA,NA,NA,NA
"309","Cayman Islands",1961,8026,33.44167,1.370670321,240,27,NA,NA,NA
"310","Cyprus",1961,576395,62.38041,1.501421768,9240,4040,NA,"Europe & Central Asia","High income"
"311","Czech Republic",1961,9586651,124.0669,NA,NA,NA,NA,NA,NA
